"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","mausam kee jankari chahiye","Aapake yahan 07 November tak  mausam saaf rahega","UTTAR PRADESH","SIDDHARTH NAGAR","ITWA                                              ","2014-11-01 10:30:20.773"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki kisme bataye","gehu ki kisme- PBW-502,DVW-17,","UTTAR PRADESH","SIDDHARTH NAGAR","KHUNIYAON                                         ","2014-11-01 12:06:14.480"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mosam ki jankari","mosam saf rahega baris nahi hogi","UTTAR PRADESH","SIDDHARTH NAGAR","DOMARIYAGANJ                                      ","2014-11-01 17:51:25.620"
"RABI","HORTICULTURE","Plantation Crops","Poplar","	Plant Protection	","Poplar Ke Ped Ko Sukhne Se Bachane Ke Liye Kya Kare","Jaivik Khad Ke Sath buberiya basiyana Dale, suchm poshak tatw Aur  Cartap Hydrochloride dawa Dale","UTTAR PRADESH","SIDDHARTH NAGAR","BARHNI                                            ","2014-11-01 18:38:43.287"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAAN ME GANDHI KEET KI PROBLEM","Imidacloprid 17.8% SL 100 ml /ACRE  pani ka ghool banaker spray kare","UTTAR PRADESH","SIDDHARTH NAGAR","DOMARIYAGANJ                                      ","2014-11-01 19:15:11.097"
"RABI","AGRICULTURE","Others","Others","Varieties","bagwani me kaun si phasal laga sakate hai","aap bagwani me masur aur matar ki kheti kar sakate hai","UTTAR PRADESH","SIDDHARTH NAGAR","BHANWAPUR                                         ","2014-11-02 11:06:29.293"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism bta de","gehu ki kism- DBW-17,PBW-343,PBW550,502,PBW373","UTTAR PRADESH","SIDDHARTH NAGAR","DOMARIYAGANJ                                      ","2014-11-02 15:01:36.990"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bta de","gehu ki variety hai pbw 502 pbw 550 pbw 509 pbw 17 bo sakte hai app","UTTAR PRADESH","SIDDHARTH NAGAR","KHESRAHA                                          ","2014-11-04 17:42:46.843"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","sugar free prajati bataye","cipsona -1,2, aur 3   hai","UTTAR PRADESH","SIDDHARTH NAGAR","MITHWAL                                           ","2014-11-04 21:10:10.030"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki vairety bta de","gehu ki vairety hai pbw 502 pbw 550 pbw 343 bo sakte hai","UTTAR PRADESH","SIDDHARTH NAGAR","DOMARIYAGANJ                                      ","2014-11-05 16:30:15.733"
