"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","karela ki patti pili ho rhi hai kya kare","carbendazim 12 % + mancozeb 63 % @ 2 gram / litar pani ka spray kare","UTTAR PRADESH","SONBHADRA","CHOPAN                                            ","2014-11-02 11:39:59.587"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","paddy me weed management ka upay bataye","Allmix (chlorimuran ethyle+metsalfuran)-8 gram/ekd","UTTAR PRADESH","SONBHADRA","CHATRA                                            ","2014-11-02 11:40:07.210"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Smut disease in paddy","Hexaconazole 5% EC  ,500 ml dava ko /250 liter pani me mela karke  /Acre spary kare","UTTAR PRADESH","SONBHADRA","ROBERTSGANJ                                       ","2014-11-02 15:24:33.863"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","pyaj ki prajati bataye","pyaj ki prajati pusa red, pusa madhwi white flate,N-53 Agrifound dark red","UTTAR PRADESH","SONBHADRA","ROBERTSGANJ                                       ","2014-11-02 16:08:48.443"
"RABI","HORTICULTURE","Plantation Crops","DatePalm","	Plant Protection	","maniplant ki patti kali hokar suk rahi hai","steptosykleen 1 gram dava /15 liter pani + koper oxikloride 3 gram dava /liter pani me spray kare","UTTAR PRADESH","SONBHADRA","CHATRA                                            ","2014-11-02 16:18:39.287"
"RABI","AGRICULTURE","Others","Others","Weather","mausum ki jankari de","kisan bhai aapke yhaa mausum saaf rahega","UTTAR PRADESH","SONBHADRA","GHORAWAL                                          ","2014-11-04 10:08:56.733"
"RABI","AGRICULTURE","Oilseeds","Mustard","Agriculture Mechanization","sarson me sinchai kab karen","pahli sinchaai phool aane se pahle aur doosri sinchaai fali bante samay karen","UTTAR PRADESH","SONBHADRA","NAGWA                                             ","2014-11-05 06:50:56.210"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Blight disease in potato","Hexaconazole 5 EC  ,2.0 ml dava ko / liter pani me mela karke  spary kare","UTTAR PRADESH","SONBHADRA","ROBERTSGANJ                                       ","2014-11-05 07:50:58.040"
"RABI","HORTICULTURE","Fruits","Aonla","	Plant Protection	","FLOWERING PROBLEM IN ANOLA","micro nutrients ka pryog kere","UTTAR PRADESH","SONBHADRA","GHORAWAL                                          ","2014-11-05 08:24:09.487"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","kya Dhaan me gehun bo sakate hai","Dhaan me gehun bo sakate hai","UTTAR PRADESH","SONBHADRA","ROBERTSGANJ                                       ","2014-11-05 11:39:02.237"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","dhan ki jankari ke liye","Urea ka 2% ka spray kare","UTTAR PRADESH","SONBHADRA","ROBERTSGANJ                                       ","2014-11-05 11:42:52.647"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","kya Dhaan me gehun bo sakate hai","Dhaan me gehun bo sakate hai","UTTAR PRADESH","SONBHADRA","ROBERTSGANJ                                       ","2014-11-05 11:45:29.547"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu ki vairety bta de","gehu ki vairety hai","UTTAR PRADESH","SONBHADRA","GHORAWAL                                          ","2014-11-05 14:54:17.387"
"RABI","AGRICULTURE","Pulses","Faba Bean (Horse Bean/windsor Bean)","	Plant Protection	","fungas in cabbage","Carbendazim 12% + Mancozeb 63% WP400 gm/acre","UTTAR PRADESH","SONBHADRA","CHATRA                                            ","2014-11-06 09:06:51.070"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","mashroom ke kheti ki jankari de","aap mashroom ki kheti ke liye apne zile ke KVK par sampark kare","UTTAR PRADESH","SONBHADRA","ROBERTSGANJ                                       ","2014-11-06 09:47:10.953"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ki baali kali ho rahi hai kya kare","dhaan ki baali per spray kar de propicobnazoal ka 500 ml ka 150 liter pani m milkar","UTTAR PRADESH","SONBHADRA","CHATRA                                            ","2014-11-06 11:18:18.940"
