"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","weather ki jankri","abhi mausam saf hein","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2014-11-01 09:42:32.800"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KE BARE ME JANNA HAI","BARIS KI SAMBHAVNA NAHI HAI BADAL RAHEGE","UTTAR PRADESH","SULTANPUR","JAISINGHPUR                                       ","2014-11-01 10:24:07.940"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","mandi bhav lagwana hai","sms suvidha activate kar di gayi hai","UTTAR PRADESH","SULTANPUR","JAISINGHPUR                                       ","2014-11-01 11:24:47.657"
"KHARIF","AGRICULTURE","Fodder Crops","Lucerne (Alfalfa)","	Plant Protection	","mosam ke bare batye","badal rhe ge","UTTAR PRADESH","SULTANPUR","BHETUA                                            ","2014-11-01 12:53:22.377"
"KHARIF","AGRICULTURE","Cereals","Wheat","Market Information","gehi ki varieties","PBW 343,PBW 550,PBW 502,DBW 17,HD 3043,UP 2382","UTTAR PRADESH","SULTANPUR","AMETHI                                            ","2014-11-01 15:42:39.963"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu ki prajati","gehu ki prajati -HD-2967,HD-3086","UTTAR PRADESH","SULTANPUR","JAISINGHPUR                                       ","2014-11-01 16:27:13.157"
"RABI","HORTICULTURE","Medicinal and Aromatic Plants","Mentha","Market Information","mandi bhaw ki jankari lagwana ha","kisan bhai aap ke number par mandi bhaw ki jankari laga di gyi","UTTAR PRADESH","SULTANPUR","BALDIRAI                                          ","2014-11-01 16:33:20.077"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","POTATO KE BEEJ KO UPCHARIT KARANA HAI","APPLY VALIDAMYCIN-1 LIT / 8 QUINTAL SEED","UTTAR PRADESH","SULTANPUR","BALDIRAI                                          ","2014-11-01 17:53:02.000"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","POTATO KE BEEJ KO UPCHARIT KARANA HAI","APPLY VALIDAMYCIN-1 LIT / 8 QUINTAL SEED","UTTAR PRADESH","SULTANPUR","BALDIRAI                                          ","2014-11-01 17:53:02.523"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 1 november se 6 november tak badal bane rhene ki sambhawana hai","UTTAR PRADESH","SULTANPUR","AMETHI                                            ","2014-11-01 18:24:52.730"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Weather","any contact number of weather","18001801717","UTTAR PRADESH","SULTANPUR","DHANPATGANJ                                       ","2014-11-01 19:35:32.703"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Seeds","chane ki prajaati chahiye","pusa 256,372.362,adhaar","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2014-11-01 20:07:22.763"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","GENHU KI BUAI KARNI HAI,NPK RECOMMENDATION BATAO..?","NPK@140:60:40","UTTAR PRADESH","SULTANPUR","AKHAND NAGAR                                      ","2014-11-01 20:26:52.960"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","CHANE KI PRAJATI BATAYE","pusa-209,212,240,244,256,261,267","UTTAR PRADESH","SULTANPUR","MOTIGARPUR                                        ","2014-11-02 11:32:23.763"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","baegan ki kism bta de","baegan ki kism Pusa Hybrid 5,Pusa Shyamla,pusa parpal kalastar","UTTAR PRADESH","SULTANPUR","DUBEPUR                                           ","2014-11-02 12:34:31.537"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu ki kisme bataye","gehu ki kisme- dvw-17,pbw-502,up-2382,pbw-343,","UTTAR PRADESH","SULTANPUR","MOTIGARPUR                                        ","2014-11-02 12:48:37.217"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variety of wheat","late variety of wheat ,DVW-39,PBW-343,PBW-502","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2014-11-02 17:42:44.030"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","sarso ki prajati bataie?","varuna,basanti kranti","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2014-11-02 17:43:05.913"
"RABI","AGRICULTURE","Others","Others","Weather","MOUSAM KI JANKARI LENI HAI","Aaj mousam saf rhega varsha ki sammbhawna nhi hai","UTTAR PRADESH","SULTANPUR","DHANPATGANJ                                       ","2014-11-02 17:57:06.997"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganee ki buvai karni hai","ganna ki buvai kara sakte hai","UTTAR PRADESH","SULTANPUR","KUREBHAR                                          ","2014-11-02 20:41:33.760"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","gehu me krptvar ki dva bta de","gehu me- salfosalfeuran + met saluran mithail @  16 gm / ecar","UTTAR PRADESH","SULTANPUR","KUREBHAR                                          ","2014-11-03 11:08:33.970"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankri chahiye","aaj kal me mausam ki jankari chahiye","UTTAR PRADESH","SULTANPUR","JAISINGHPUR                                       ","2014-11-03 11:09:56.030"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","aalu ki sinchaai kab karen","aalu ki sinchaai mitti ko chadhaate samay karen","UTTAR PRADESH","SULTANPUR","DHANPATGANJ                                       ","2014-11-03 13:49:02.473"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mosam ke bare batye","badal rhe ge","UTTAR PRADESH","SULTANPUR","JAMO                                              ","2014-11-04 14:05:48.047"
"JAYAD","HORTICULTURE","Vegetables","Potato","Water Management, Micro Irrigation","ASKING ABOUT WATER MANAGEMENT OF POTATO","ANSWER GIVEN IN DETAIL","UTTAR PRADESH","SULTANPUR","BALDIRAI                                          ","2014-11-04 20:18:56.440"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","weather ki jankri","abhi mausam saf hein","UTTAR PRADESH","SULTANPUR","BHADAR                                            ","2014-11-05 09:43:13.047"
"RABI","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","brinjal ki kheti ki jankari ke liye","brinjal ki kheti ki jankari  di gayi hai","UTTAR PRADESH","SULTANPUR","DOSTPUR                                           ","2014-11-05 10:31:20.330"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","tricoderma ke sath sulfar mila sakte hi","nhi mila sakte hi","UTTAR PRADESH","SULTANPUR","GAURIGANJ                                         ","2014-11-05 15:01:00.047"
"RABI","AGRICULTURE","Others","Others","Varieties","gehu ki prajati  bataye","dbw-17  ki buwai kare","UTTAR PRADESH","SULTANPUR","MOTIGARPUR                                        ","2014-11-05 15:01:55.203"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","masur ka kitna beej lage ga","masur ka 40 kilo se dal de khet m","UTTAR PRADESH","SULTANPUR","LAMBHUA                                           ","2014-11-05 15:47:48.927"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAAN MAI KIDA","Monocrotophos 36% SL 500 ML/ACRE","UTTAR PRADESH","SULTANPUR","JAMO                                              ","2014-11-05 16:39:45.373"
