"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankri chahiye","aaj kal me bearish nahi hai","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2014-11-01 09:08:33.677"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","MONTHA KE LIYE KYA DALE","GYYSOPHET 41 SL  4 LITER / HACT. PANI KE SATH SPRAY","UTTAR PRADESH","UNNAO","PURWA                                             ","2014-11-01 10:24:14.280"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","potato me is samay koun  si khad dale","10kg.zym+30kg/ urea/acar ka prayog kare","UTTAR PRADESH","UNNAO","BANGARMAU                                         ","2014-11-01 10:24:49.740"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","ALU BADHANE KI DAVA KI JAAN KARI","Aminoacids (16) 10% 8 Kg/Acre  KA PRAYOG KARE","UTTAR PRADESH","UNNAO","SUMERPUR                                          ","2014-11-01 10:57:16.323"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki kisme bataye","gehu ki kisme- DVW-17,PBW-343,","UTTAR PRADESH","UNNAO","SUMERPUR                                          ","2014-11-01 11:03:08.060"
"RABI","HORTICULTURE","Flowers","Carnation","Water Management, Micro Irrigation","varity of wheat","pvw343 pvw443 narendra gehu1012  dbw17","UTTAR PRADESH","UNNAO","BIGHAPUR                                          ","2014-11-01 11:27:57.517"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari den","baris nahi hai","UTTAR PRADESH","UNNAO","FATEHPUR CHAURASI                                 ","2014-11-01 15:35:19.680"
"RABI","HORTICULTURE","Vegetables","Chillies","Seeds and Planting Material","mirch ki kism bta de","mirch ki kism -pusa javla","UTTAR PRADESH","UNNAO","SUMERPUR                                          ","2014-11-01 16:46:03.783"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me kharpatwar hai","aalu me kharpatpatwar ki nirai kare","UTTAR PRADESH","UNNAO","SUMERPUR                                          ","2014-11-01 17:01:36.487"
"RABI","AGRICULTURE","Others","Others","Weather","maosm ki jankari de de","badal rhege","UTTAR PRADESH","UNNAO","SIKANDARPUR KARAN                                 ","2014-11-01 17:17:02.697"
