"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","mosam ki jankari","kisan bhai apke yahan 6 novembar tak mosam saf hai","UTTAR PRADESH","VARANASI","BARAGAON                                          ","2014-11-01 12:07:17.587"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","variety of wheat","PBW 550 ,  PBW 343 , DBW - 17 , PBW-502","UTTAR PRADESH","VARANASI","BARAGAON                                          ","2014-11-01 12:27:34.953"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JAAN KARI","MAUSAM SAAF HAI","UTTAR PRADESH","VARANASI","ARAJILINE                                         ","2014-11-01 13:31:22.980"
"RABI","HORTICULTURE","Fruits","Bail","Seeds and Planting Material","bail ki kism bta de","bail ki kism- narendra bail","UTTAR PRADESH","VARANASI","ARAJILINE                                         ","2014-11-01 15:28:23.090"
"KHARIF","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","DBW-17 KI BUBAI","ABHI DBW-17 KI BUBAI KR SAKTE HAI","UTTAR PRADESH","VARANASI","CHOLAPUR                                          ","2014-11-01 17:28:52.483"
"RABI","HORTICULTURE","Fruits","Banana","	Plant Protection	","BANANA KA PAUDH GAL RAHA HAI","Copper Oxychloride 50%WP 3 gram / liter pani ka spray kare","UTTAR PRADESH","VARANASI","CHOLAPUR                                          ","2014-11-01 18:37:20.147"
"RABI","AGRICULTURE","Others","Others","Weather","mausum ki jankari de","mausum saaf rahega","UTTAR PRADESH","VARANASI","ARAJILINE                                         ","2014-11-01 21:24:15.823"
"RABI","AGRICULTURE","Others","Others","Varieties","gehu ki kism bta de","gehu ki kism- DBW-17,PBW-343,PBW550,502,PBW373","UTTAR PRADESH","VARANASI","SEVAPURI                                          ","2014-11-02 13:09:43.357"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Government Schemes","phasal beema ka labh kaha se milega","Apne Krishi Jila Adhikari Se Sampark Kare","UTTAR PRADESH","VARANASI","KASHI VIDYAPEETH                                  ","2014-11-02 15:27:00.497"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","bringal me insect ki samasya hai","Cypermethrin 25% EC,2 ml dava /liter pani me spray kare","UTTAR PRADESH","VARANASI","HARAHUA                                           ","2014-11-02 16:47:29.120"
"RABI","AGRICULTURE","Others","Others","Storage","SMS seva ki jankari de","SMS seva ki vistarit  jankari di gai","UTTAR PRADESH","VARANASI","CHIRAIGAON                                        ","2014-11-02 18:18:59.487"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki jankari","gehu ki jankari-HD-2967,HD-3086,DBW-17,DBW-550,PBW-343,PBW-443","UTTAR PRADESH","VARANASI","SEVAPURI                                          ","2014-11-03 12:24:57.620"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","sms band karana haio","sms abhi band nahi ho payega","UTTAR PRADESH","VARANASI","CHOLAPUR                                          ","2014-11-03 18:57:40.873"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","adarak ki kheti kab karte hai","May - June me adarak lagate hai","UTTAR PRADESH","VARANASI","BARAGAON                                          ","2014-11-04 12:30:56.190"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","gehu ki bubai kar sakte hai","gehu ki bubai kar sakte hai","UTTAR PRADESH","VARANASI","CHIRAIGAON                                        ","2014-11-04 18:10:12.347"
"RABI","AGRICULTURE","Others","Others","Government Schemes","galat information deta hai","kisan bhai galat information na de anyatha apke viruddh karyawahi ki jayegi","UTTAR PRADESH","VARANASI","SEVAPURI                                          ","2014-11-05 11:42:05.100"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ki fasal me dawa ko pryog karne ke baad bhi wo shukh jati hai","aap koi fasal lagane se pahale apne khet ke mitti ki jach karwa le","UTTAR PRADESH","VARANASI","SEVAPURI                                          ","2014-11-05 12:04:45.257"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","wheat kee variety bata de","wheat kee variety","UTTAR PRADESH","VARANASI","SEVAPURI                                          ","2014-11-05 12:20:14.423"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism bta de","gehu ki kism- DBW-17,PBW-343,PBW550,502,PBW373,HD-2967","UTTAR PRADESH","VARANASI","ARAJILINE                                         ","2014-11-05 17:20:01.573"
"RABI","AGRICULTURE","Others","Others","Market Information","message subidha band krwana chahte h","kisan bhai apke number pr message subidha band kr di jaegi","UTTAR PRADESH","VARANASI","CHIRAIGAON                                        ","2014-11-05 18:43:30.850"
"RABI","AGRICULTURE","Others","Others","Government Schemes","sms alert lagawana hai","sms alert laga de rahe hai","UTTAR PRADESH","VARANASI","BARAGAON                                          ","2014-11-05 18:55:24.203"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","gehu ki jankari de","gehu ki vistarit jankari di gai","UTTAR PRADESH","VARANASI","PINDRA                                            ","2014-11-06 06:56:38.393"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice me fungus laga hein","Mancozeb 75% WP: 400-600 gm/acre","UTTAR PRADESH","VARANASI","ARAJILINE                                         ","2014-11-06 07:53:58.380"
"RABI","HORTICULTURE","Flowers","Rose","	Plant Protection	","gulab ki nursery ki growth nahi ho rahi hai","Micro nutrients ka prayog kare","UTTAR PRADESH","VARANASI","CHIRAIGAON                                        ","2014-11-06 21:01:43.353"
"RABI","HORTICULTURE","Vegetables","Pointed Gourd","	Plant Protection	","karela kee pattiyan sikud rahi hai","Imidachloprid 17.8% SL 1 ml/liter ka spray karen","UTTAR PRADESH","VARANASI","BARAGAON                                          ","2014-11-07 06:27:20.010"
