"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Government Schemes","paultri ki training kanha se milegi","paultri ki training se 09359106525 sampark kar sakte hai","UTTARAKHAND","CHAMOLI","POKHARI                                           ","2014-11-02 16:16:06.710"
"KHARIF","AGRICULTURE","Others","Others","Weather","AAJ KA MAUSAM KAISA RAHEGA","Today we expect: plus 18—16 °C°F, plus 64—61 °C°F, without precipitation, light air. Tomorrow: plus 19—17 °C°F, plus 66—63 °C°F, without precipitation, light","UTTARAKHAND","CHAMOLI","GAIRSAIN                                          ","2014-11-06 08:43:59.070"
"JAYAD","AGRICULTURE","Fodder Crops","Barseem","	Field Preparation	","BARSEEM JALDI JAM NAHI RAHI HAI KYA KARE","BARSEEM JALDI JAM NAHI RAHI HAI TO AAP AUREA PHOSPHATE KA 1 KILOGRAM KI DAR SE 1.5 5 KA GHOL BANAKAR /ACRE KI DAER SE SPRAY KARE","UTTARAKHAND","CHAMOLI","GAIRSAIN                                          ","2014-11-19 08:41:22.737"
"KHARIF","AGRICULTURE","Pulses","Lentil (Masur)","	Field Preparation	","MASOOR KI FASAL PAR KIT LAG RAHA HAI KYA KARE","AAP APNE FASAL PAR ANILOPHOS @ 1.5 ML/LITER KI DAR SE GHOL BANAKAR SPRAY KARE","UTTARAKHAND","CHAMOLI","GHAT                                              ","2014-11-20 12:07:17.220"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me kurmula laga hai kya kare","chloropyriphos 20 ec 1.5  liter / acre sinchai ke pani ke sath de","UTTARAKHAND","CHAMOLI","DASHOLI                                           ","2014-11-21 16:22:08.173"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me kurmula laga hai kya kare","chloropyriphos 20 ec 1.5  liter / acre sinchai ke pani ke sath de","UTTARAKHAND","CHAMOLI","DASHOLI                                           ","2014-11-21 16:25:20.187"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me kurmula laga hai kya kare","chloropyriphos 20 ec 1.5  liter / acre sinchai ke pani ke sath de","UTTARAKHAND","CHAMOLI","DASHOLI                                           ","2014-11-21 16:30:50.770"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me kurmula laga hai kya kare","chloropyriphos 20 ec 1.5  liter / acre sinchai ke pani ke sath de","UTTARAKHAND","CHAMOLI","DASHOLI                                           ","2014-11-21 16:30:51.353"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me kurmula laga hai kya kare","chloropyriphos 20 ec 1.5  liter / acre sinchai ke pani ke sath de","UTTARAKHAND","CHAMOLI","DASHOLI                                           ","2014-11-21 16:30:51.590"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me kurmula laga hai kya kare","chloropyriphos 20 ec 1.5  liter / acre sinchai ke pani ke sath de","UTTARAKHAND","CHAMOLI","DASHOLI                                           ","2014-11-21 16:32:41.983"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me kurmula laga hai kya kare","chloropyriphos 20 ec 1.5  liter / acre sinchai ke pani ke sath de","UTTARAKHAND","CHAMOLI","DASHOLI                                           ","2014-11-21 16:32:42.287"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me kurmula laga hai kya kare","chloropyriphos 20 ec 1.5  liter / acre sinchai ke pani ke sath de","UTTARAKHAND","CHAMOLI","DASHOLI                                           ","2014-11-21 16:34:33.033"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Field Preparation	","GEHU KI ACCHI PRAJATI KA NAAM BATAYE","GEHU KI ACCHI PRAJATI KA NAAM PBW-550 HAI","UTTARAKHAND","CHAMOLI","DEWAL                                             ","2014-11-22 09:09:31.163"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","HAMARI BHAIS KO KILNI LAGI HAI KYA KARE","AAP APNE PASHU KO BUTOX LOTION KO GHOL BANAKAR PASHU KO NAHLANA HAI","UTTARAKHAND","CHAMOLI","DASHOLI                                           ","2014-11-22 11:56:45.210"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","TAMATAR KI GUCCHE VALI PRAJATI KA NAAM BATAYEE","TAMATAR KI GUCCHE VALI PRAJATI KA NAAM ANGOOR LATA HAI","UTTARAKHAND","CHAMOLI","JOSHIMATH                                         ","2014-11-22 12:45:46.110"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me kida lag raha hai","apply chlorpyrifos 20ec @ 3 liter /hectare me dale.","UTTARAKHAND","CHAMOLI","GHAT                                              ","2014-11-22 14:31:11.987"
"JAYAD","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","MATAR ME BADVAR NAHI HO RAHI HAI","MATAR ME BADVAR NAHI HO RAHI HAI TO UREA FOSPHATE 1.5 KILOGRAM/ACRE KI DAR SE 1.5 % KA GHOL BANAKAR SPRAY KARE","UTTARAKHAND","CHAMOLI","GHAT                                              ","2014-11-23 08:43:01.763"
"JAYAD","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","MATAR ME BADVAR NAHI HO RAHI HAI","MATAR ME BADVAR NAHI HO RAHI HAI TO UREA FOSPHATE 1.5 KILOGRAM/ACRE KI DAR SE 1.5 % KA GHOL BANAKAR SPRAY KARE","UTTARAKHAND","CHAMOLI","GHAT                                              ","2014-11-23 09:01:29.770"
"RABI","AGRICULTURE","Others","Others","Weather","MOUSAM KI JANKARI DIJIYE?","MOUSAM SAF RAHEGA.","UTTARAKHAND","CHAMOLI","JOSHIMATH                                         ","2014-11-26 08:30:19.977"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","RIDA JANCH KARNI HAI KHA SAMPARK KARE","AAP KRISHI VIGYAN KENDRA PAR Dr . Uma Naulia
KVK, Gwaldam, Distt.- Chamoli-246441
01363-274287  , 9411171943
SE SAMPARK KARE","UTTARAKHAND","CHAMOLI","GHAT                                              ","2014-11-29 09:08:55.267"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehun kibdwar nhi ho rahi hai","fsal me npk 19:19:19 ka 2kg/acr ke hisab se chid kao kren","UTTARAKHAND","CHAMOLI","DEWAL                                             ","2014-11-30 06:12:37.423"
