"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","1121 ka rate kya hai?","1121 ka rate 1700-3150","UTTARAKHAND","DEHRADUN","CHAKRATA                                          ","2014-11-02 12:36:47.400"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","massege seva ko band karana chahta hoo","aap ke massege seva band karne ki request bheji ja rahi hai","UTTARAKHAND","DEHRADUN","SAHASPUR                                          ","2014-11-02 18:08:20.200"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne ki pattiya pili pad rahi hai","aap apne ganne mein sichai karaye","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-04 19:39:45.850"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Field Preparation	","MUSTER KI ACCHI PRAJATI KA NAAM BATAYE","AAP ISKE LIYE VARUNA AUR KRANTI PRAJATI KO LAGA SAKTE HAI","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-05 09:36:52.240"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu pila pad raha hai","spray npk (19:19:19) @ 1-1.5 kilo/acre","UTTARAKHAND","DEHRADUN","CHAKRATA                                          ","2014-11-05 15:03:50.317"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","mausam ke bare mein bataye","mausam saaf rahega","UTTARAKHAND","DEHRADUN","CHAKRATA                                          ","2014-11-05 20:57:19.397"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","sarson ki pati safed ho raha hai?","apply zinc sulphet + urea 2%","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-06 10:44:32.770"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","kisan call center me koi job hai","nahi is samay koi job nahi hai aap iksl ki side par najar rakhe","UTTARAKHAND","DEHRADUN","KALSI                                             ","2014-11-06 11:20:15.270"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mosam ki jnakri dijiye?","Today we expect: plus 22—16 °C°F, plus 72—61 °C°F, without precipitation, light breeze. Tomorrow: plus 23 °C°F, plus 73 °C°F, without precipitation, light breeze.","UTTARAKHAND","DEHRADUN","RAIPUR                                            ","2014-11-06 12:08:17.810"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","gehu ki variety","hd-2967","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-06 14:19:59.153"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","gehu ki variety","hd-2967","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-06 14:21:30.527"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","sarso me patte me kale rang ke kide lag rahe hai","dimethoat 30 ec 1.5 ml /liter pani ke sath spray","UTTARAKHAND","DEHRADUN","SAHASPUR                                          ","2014-11-06 17:02:41.420"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","sarso me patti par safad rang ke dhabbe ban rahe hai","mancozeb 2.5 graam / liter pani ke sath spray","UTTARAKHAND","DEHRADUN","SAHASPUR                                          ","2014-11-06 17:10:05.507"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism batao?","H.D.-2967, H.D.-2851, H.D. -2894, H.D.-2967, H.D.-17 ?","UTTARAKHAND","DEHRADUN","RAIPUR                                            ","2014-11-07 07:04:53.033"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","alu me jamini kida hai","fipronil 0.3 % 10kilo/acre","UTTARAKHAND","DEHRADUN","SAHASPUR                                          ","2014-11-07 17:28:29.043"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aloo me jhulsa laga hai kya kare","aap apne aloo ki fasal me radomil @ 2 gram/liter pani me ghol banakar spray kare","UTTARAKHAND","DEHRADUN","KALSI                                             ","2014-11-08 10:19:47.293"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aaloo lagane ka sahi samay kya hai","aaloo lagane ka sahi samay mid november tak thik hai","UTTARAKHAND","DEHRADUN","KALSI                                             ","2014-11-08 11:43:10.050"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aaloo lagane ka sahi samay kya hai","aaloo lagane ka sahi samay mid november tak thik hai","UTTARAKHAND","DEHRADUN","KALSI                                             ","2014-11-08 11:48:34.200"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aaloo lagane ka sahi samay kya hai","aaloo lagane ka sahi samay mid november tak thik hai","UTTARAKHAND","DEHRADUN","KALSI                                             ","2014-11-08 11:48:36.340"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu upcharit karna hai?","apply Carbendazim 50% WP @ 2gm/kg seed","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-10 08:50:28.923"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu me dana kala ho jata hai?","apply propiconazol 25ec @ 200gm/acre me spray kare.","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-10 10:38:23.813"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","pyaj ke kyari me kitnashak koun sa de?","apply CARBOFURAN 3% CG @ 10kg/haictear","UTTARAKHAND","DEHRADUN","RAIPUR                                            ","2014-11-10 11:49:55.743"
"RABI","AGRICULTURE","Others","Others","Weather","mousam ki jkankari de?","mousam saaf rahega.","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-10 16:02:22.567"
"RABI","AGRICULTURE","Others","Others","Weather","mousam ki jkankari de?","mousam saaf rahega.","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-10 17:07:42.877"
"KHARIF","AGRICULTURE","Others","Others","Weather","aaj ka mausam kaisa rahega","Today we expect: plus 24—18 °C°F, plus 75—64 °C°F, without precipitation, light breeze. Tomorrow: plus 25—17 °C°F, plus 77—63 °C°F, without precipitation, light breeze.","UTTARAKHAND","DEHRADUN","KALSI                                             ","2014-11-11 09:31:05.783"
"KHARIF","AGRICULTURE","Others","Others","Weather","aaj ka mausam kaisa rahega","Today we expect: plus 24—18 °C°F, plus 75—64 °C°F, without precipitation, light breeze. Tomorrow: plus 25—17 °C°F, plus 77—63 °C°F, without precipitation, light breeze.","UTTARAKHAND","DEHRADUN","KALSI                                             ","2014-11-11 09:32:11.170"
"KHARIF","AGRICULTURE","Others","Others","Weather","aaj ka mausam kaisa rahega","Today we expect: plus 24—18 °C°F, plus 75—64 °C°F, without precipitation, light breeze. Tomorrow: plus 25—17 °C°F, plus 77—63 °C°F, without precipitation, light breeze.","UTTARAKHAND","DEHRADUN","KALSI                                             ","2014-11-11 09:33:25.360"
"KHARIF","AGRICULTURE","Others","Others","Weather","aaj ka mausam kaisa rahega","Today we expect: plus 24—18 °C°F, plus 75—64 °C°F, without precipitation, light breeze. Tomorrow: plus 25—17 °C°F, plus 77—63 °C°F, without precipitation, light breeze.","UTTARAKHAND","DEHRADUN","KALSI                                             ","2014-11-11 09:34:16.560"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","	Plant Protection	","mashroom ki jankari dijiye?","mashroom ki jankari di gi","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-11 09:58:27.270"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","	Plant Protection	","mashroom ki jankari dijiye?","mashroom ki jankari di gi","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-11 09:58:27.840"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","aam me patte kat rahe hai","monocrotophos 36 sl  1.5 ml / liter pani ke sath spray","UTTARAKHAND","DEHRADUN","RAIPUR                                            ","2014-11-11 16:44:57.207"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety","hd-2967","UTTARAKHAND","DEHRADUN","KALSI                                             ","2014-11-11 16:49:52.523"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","kheto mein deemak ke liye bataye","apply phorate 10 G or corbofuron @ 10 kilo/hectare","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-11 17:28:18.547"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tamatar ke fal mein kide lag rahe hai","spray quinalphos 25 EC @ 1.5-2 mili/liter of water","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-11 20:20:02.193"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","hame pashu pashuchikitsak se baat karni hai","aap  kripa karke 30 minat baad phone kare abhi confrence nahi ho paa raha hai","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-11-12 10:38:19.273"
