"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","pahadi ilake me aalu ham kab laga sakte hai","pahadi ilake me aalu ko farvery me laga sakte hai","UTTARAKHAND","PITHORAGARH","DIDIHAT                                           ","2014-12-02 17:46:29.253"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","PASHU KO THANAILA ROG LAGA HAI","18001805141 PAR SAMPARK KARE","UTTARAKHAND","PITHORAGARH","DHARCHULA                                         ","2014-12-05 16:28:05.480"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","BANDAR KET ME PARESAN KAR RAHE HAI","18001805141 PAR SAMPARK KARE","UTTARAKHAND","PITHORAGARH","KANALICHINA                                       ","2014-12-05 20:10:28.540"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","BANDAR KET ME PARESAN KAR RAHE HAI","18001805141 PAR SAMPARK KARE","UTTARAKHAND","PITHORAGARH","KANALICHINA                                       ","2014-12-05 20:11:26.690"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","BANDAR KET ME PARESAN KAR RAHE HAI","18001805141 PAR SAMPARK KARE","UTTARAKHAND","PITHORAGARH","KANALICHINA                                       ","2014-12-05 20:13:09.237"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kaun si kism laga sakte hai","Late variety of wheat dbw-16 , dbw-14 UP-2338, pbw-373 pbw-502, up -2425 , pbw-590","UTTARAKHAND","PITHORAGARH","GANGOLIHAT                                        ","2014-12-10 14:20:39.620"
"RABI","AGRICULTURE","Others","Others","Post Harvest Preservation","falo ke juice sanrakshan ke bare","aap apne krashi vigyan  kendra gaina ichauli se sampark kare","UTTARAKHAND","PITHORAGARH","MUNSYARI                                          ","2014-12-13 11:28:58.293"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","mujhe murgi palan karna hai loan kaha se milega","aap iske liye apne block ya krishi vigyan kendra par mile","UTTARAKHAND","PITHORAGARH","MUNSYARI                                          ","2014-12-14 07:30:44.807"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","mousam ki jankari dijiye?","18 mm barish i sambhvna hai","UTTARAKHAND","PITHORAGARH","DHARCHULA                                         ","2014-12-14 07:48:16.947"
"RABI","AGRICULTURE","Others","Others","Weather","mousam ki jankari de?","Today we expect: plus 11—10 °C°F, plus 52—50 °C°F, rain, light air. Tomorrow: plus 11—10 °C°F, plus 52—50 °C°F, rain, light air.","UTTARAKHAND","PITHORAGARH","DIDIHAT                                           ","2014-12-14 08:51:48.477"
"KHARIF","AGRICULTURE","Others","Others","Weather","aaj ka mausam kaisa rahega","Today we expect: plus 3 °C°F, plus 37 °C°F, heavy rain, light air. Tomorrow: plus 3 °C°F, plus 37 °C°F, mainly without precipitation, light air.","UTTARAKHAND","PITHORAGARH","DIDIHAT                                           ","2014-12-15 13:09:03.223"
"RABI","AGRICULTURE","Others","Others","Weather","mousam ke bare me bataye?","Today we expect: plus 5 °C°F, plus 41 °C°F, without precipitation, light breeze. Tomorrow: plus 14—11 °C°F, plus 57—52 °C°F, without precipitation, calm.","UTTARAKHAND","PITHORAGARH","GANGOLIHAT                                        ","2014-12-17 21:04:30.463"
