"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BROWN PLANT HOPPER OF PADDY","RECOMMENDED FOR SPRAY BUPROFEZIN 25% EC @ 1 ML/LIT OF WATER.","WEST BENGAL","BANKURA","ONDA                                              ","2014-11-01 07:41:53.747"
"RABI","AGRICULTURE","Others","Others","Weather","WANT TO KNOW ABOUT WEATHER REPORT IN THE DISTRICT OF BANKURA","NO RAIN FALL IN THE DISTRICT OF BANKURA","WEST BENGAL","BANKURA","SONAMUKHI                                         ","2014-11-01 07:56:28.953"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF LEAF CURL IN CHILLIES.","RECOMENDED FOR SPRAY AZADIRECTIN 1 % EC @ 3 ML/ LITER OF WATER.","WEST BENGAL","BANKURA","RAIPUR-I                                          ","2014-11-01 07:56:33.193"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","CONTROL OF STEM ROT OF BEANS","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50% W.P. @ 4 GM/LT. OF WATER","WEST BENGAL","BANKURA","ONDA                                              ","2014-11-01 08:04:57.607"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WANT TO KNOWN ABOUT CONTROL OF FALSE SMUT IN PADDY.","RECOMMENDED FOR SPRAY  CHLOROTHALONIL 75% WP  @ 2 GM  / LIT OF WATER.","WEST BENGAL","BANKURA","SONAMUKHI                                         ","2014-11-01 08:22:48.993"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","ATTACK OF LEAF BLIGHT IN CAULIFLOWER","RECOMMENDED FOR SPRAY OF  COPPER OXYCHLORIDE 50 % WP @ 4 GM /LIT OF WATER","WEST BENGAL","BANKURA","KOTULPUR                                          ","2014-11-01 10:29:25.930"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","CULTIVATION OF POTATO","CONTACT WITH BLOCK  [ ASSISTANT DIRECTOR OF AGRICULTURE(A.D.A)]","WEST BENGAL","BANKURA","SONAMUKHI                                         ","2014-11-01 10:41:29.153"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF NECK BLAST IN PADDY.","RECOMMENDED FOR SPRAY  ISOPROTHIOLANE 40% EC   @  1 ML / LIT OF WATER.","WEST BENGAL","BANKURA","SARENGA                                           ","2014-11-01 11:01:22.790"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF RED MITE IN BRINJAL.","RECOMENDED FOR SPRAY FENAZAQUIN 10 % EC @ 1.5 ML/ LITER OF WATER.","WEST BENGAL","BANKURA","CHHATNA                                           ","2014-11-01 11:14:45.033"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT.","PARTLY CLOUDY WEATHER BUT NO CHANCE OF RAINFALL.","WEST BENGAL","BANKURA","ONDA                                              ","2014-11-01 11:42:42.000"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF LEAF CURL OF CHILLI","RECOMMENDED FOR SPRAY DIMETHOATE 30% E.C. @ 2 ML/LT. OF WATER","WEST BENGAL","BANKURA","ONDA                                              ","2014-11-01 11:47:15.490"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT.","NO RAIN FALL.","WEST BENGAL","BANKURA","INDPUR                                            ","2014-11-01 12:34:54.697"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CULTIVATION OF BRINJAL","CONTACT WITH BLOCK  [ ASSISTANT DIRECTOR OF AGRICULTURE(A.D.A)]","WEST BENGAL","BANKURA","PATRASAYER                                        ","2014-11-01 12:41:08.910"
"RABI","HORTICULTURE","Vegetables","Spinach (Palak)","Seeds and Planting Material","VARIETIES OF SPINACH","ALLGREEN, PUSA JOYTI, PUSA HARITH, ARKA ANUPAMA,CALCUTTA","WEST BENGAL","BANKURA","TALDANGRA                                         ","2014-11-01 12:48:28.467"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","WEATHER REPORT","NO RAINFALL FOR NEXT FIVE DAYS","WEST BENGAL","BANKURA","SONAMUKHI                                         ","2014-11-01 12:53:57.877"
