"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF LEAF CURL ION BRINJAL.","RECOMMENDED FOR SPRAY  DIMETHOATE 30% EC @ 2 ML  / LIT OF WATER.","WEST BENGAL","DINAJPUR(SOUTH)","KUMARGANJ                                         ","2014-11-01 08:08:42.687"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","CONTROL OF STEM CRAKING IN BANANA","RECOMMENDED FOR USE BORON @ 1KG/BIGHA","WEST BENGAL","DINAJPUR(SOUTH)","KUMARGANJ                                         ","2014-11-01 09:13:09.350"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","WANT TO KNOWN ABOUT SOIL TEST.","CONTACT WITH BLOK ASSIT. DIRECTOR OF AGRICULTURE.","WEST BENGAL","DINAJPUR(SOUTH)","TAPAN                                             ","2014-11-01 09:15:47.353"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING WATHER REPORT","NO RAINFAL","WEST BENGAL","DINAJPUR(SOUTH)","HILI                                              ","2014-11-01 09:30:24.590"
"KHARIF","HORTICULTURE","Vegetables","Dolichos Bean","	Plant Protection	","CONTROL OF FLOWER DROPPING IN DOLICHOS BEAN.","RECOMMENDED FOR SPRAY ALPHA NEPTHALENE ACETIC ACID  @ 1 ML / 4.5 LIT OF WATER.","WEST BENGAL","DINAJPUR(SOUTH)","HILI                                              ","2014-11-01 09:33:10.283"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","SEED TREATMENT OF MUSTARD","SEED TREATMENT WITH CARBENDAZIM 50 % WP @ 2 GM/ KG OF SEEDS","WEST BENGAL","DINAJPUR(SOUTH)","GANGARAMPUR                                       ","2014-11-01 09:55:49.190"
"KHARIF","FISHERIES","Marine","Marine","Tank, Pond and Reservoir Management","ASKING POND PREPARATION","ALL ANSWER GIVEN IN DETAIL","WEST BENGAL","DINAJPUR(SOUTH)","BANSIHARI                                         ","2014-11-01 10:28:12.123"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF BACTERIAL WILT IN CHILLIE.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER + STREPTOCYCLINE 9:1 SP ( 90:10 SP) @ 1 GM / 10 LIT OF WATER.","WEST BENGAL","DINAJPUR(SOUTH)","GANGARAMPUR                                       ","2014-11-01 11:35:15.937"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASKING FOR LEAF CURL","RECOMMENDED FOR SPRAY IMIDACOROPRID 1ML/3 LIT OF WATER.","WEST BENGAL","DINAJPUR(SOUTH)","BANSIHARI                                         ","2014-11-01 16:56:36.967"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","SEED TREATMENT OF PADDY.","APPLY CARBENDAZIM 50% WP @ 2GM/ LIT. OF WATER FOR 1KG SEED.","WEST BENGAL","DINAJPUR(SOUTH)","KUMARGANJ                                         ","2014-11-01 20:12:02.543"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","CONTROL OF SIGATOKA DISEASE IN BANANA","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","DINAJPUR(SOUTH)","GANGARAMPUR                                       ","2014-11-02 08:41:06.730"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","ASKING ABOUT SEED TREATEMNT IN WHEAT.","RECOMMENDED FOR USE MANCOZEB @ 2.5 GM / KG OF SEED.","WEST BENGAL","DINAJPUR(SOUTH)","BALURGHAT                                         ","2014-11-02 09:50:26.760"
"KHARIF","HORTICULTURE","Vegetables","Onion","Cultural Practices","ASKING ABOUT SEED TREATMENT FOR ONION.","RECOMMENDED FOR SPRAY TRICODARMA VIRIDI @ 5 GM / LIT OF WATER.","WEST BENGAL","DINAJPUR(SOUTH)","GANGARAMPUR                                       ","2014-11-03 09:21:09.190"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF WHITE FLY IN CHILLIES.","RECOMMENDED FOR SPRAY ACETAMIPRID @ 1 GM/5LIT. OF WATER.","WEST BENGAL","DINAJPUR(SOUTH)","BALURGHAT                                         ","2014-11-03 11:34:27.450"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING WATHER REPORT IN DINJAPUR","NO RAINFAL","WEST BENGAL","DINAJPUR(SOUTH)","BALURGHAT                                         ","2014-11-03 11:59:43.180"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATH REPORT IN  DAKSHAN-DINAJPUR","NO RAIN FALL UP TO NEXT FIVE DAYS .INDIA METEOROLOGICAL DEPARTMENT .","WEST BENGAL","DINAJPUR(SOUTH)","BALURGHAT                                         ","2014-11-03 20:01:17.477"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF BACTERIAL WILT IN BRINJAL.","RECOMMENDED FOR SPRAY STREPTOCYCLINE 9:1 SP ( 90:10 SP) @ 1 GM / 10 LIT OF WATER.","WEST BENGAL","DINAJPUR(SOUTH)","BALURGHAT                                         ","2014-11-03 20:12:41.690"
