"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","WANT TO KNOW ABOUT KISAN CREDIT CARD","CONTACT WITH LOCAL A.D.A.","WEST BENGAL","DARJILING","KHARIBARI                                         ","2014-11-01 09:48:01.410"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Asking about kisan credit card and chirkey furkey disease of cardamom?","Recommended to contact with the local block office/ADA office and spray  1%Bordeaux mixture for control of chirkey furkey disease of cardamom","WEST BENGAL","DARJILING","DARJEELING-PULBAZAR","2014-11-01 19:24:40.950"
"KHARIF","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","Asking about Leaf spot in ginger?","Recommended for spray of 1 % Bordeaux mixture or Copper oxychloride 0.25% and seed treatment of rhizome with Mancozeb @ 3gm/lit of water.","WEST BENGAL","DARJILING","DARJEELING-PULBAZAR","2014-11-01 20:31:32.560"
"RABI","HORTICULTURE","Fruits","Citrus","	Plant Protection	","Asking about shoot borer in mandarine and cultivation of lettuce?","Recommended for spray of ORRANGE- (Monocrotophos 36 WSC @ 1 ml/lit or Quinalphos 25 EC @ 1.5 ml/lit or Carbaryl 50 WP @  4 g/lit.) and for LETTUCE- Seed treatment with 
Trichoderma viride @ (4 g/kg of seed), also Apply Neem oil(azadirectin) @ 3ml/lit of water at the later stage for controll of insects/pest","WEST BENGAL","DARJILING","KALIMPONG-I","2014-11-02 10:45:28.310"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","Cultural Practices","CONTROL OF FRUIT FLY  IN BITTER GOURD","RECOMMENDED FOR SPRAY AZADIRACTIN 1% (10000 PPM) @ 3 ML / LIT OF WATER.","WEST BENGAL","DARJILING","NAXAL BARI                                        ","2014-11-03 14:20:23.157"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF WHITE FLY IN CHILLIE","RECOMMENDED FOR SPRAY IMIDACLOPRID 17.8% SL  @  1 ML / 5 LIT OF WATER.","WEST BENGAL","DARJILING","NAXAL BARI                                        ","2014-11-04 07:18:59.713"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BRWON PLANT HOPPER IN PADDY","RECOMMENDED FOR SPRAY BUPROFEZIN 25% SC @ 1 ML  / LIT OF WATER.","WEST BENGAL","DARJILING","KHARIBARI                                         ","2014-11-04 17:50:26.670"
"RABI","HORTICULTURE","Fruits","Citrus","	Plant Protection	","CONTROL OF FLOWER DROPPING IN CITRUS","RECOMMENDED FOR  SPRAY ALPHA NAPTHALENE ACETIC ACID @ 1 ML/4.5 LT. OF WATER","WEST BENGAL","DARJILING","DARJEELING-PULBAZAR","2014-11-05 08:15:54.573"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","CONTROL OF RHIZOME ROT/SOFT ROT IN GINGER.","RECOMMENDED FOR APPLY TRICHODERMMA HARZARIUM@5GRAM ALONG WITH NEEM CAKE @1KG PER BED.","WEST BENGAL","DARJILING","KURSEONG","2014-11-07 10:15:30.390"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","ASKING ABOUT SOFT ROT IN GINGER?","Recommended for Treating the seed rhizomes with Mancozeb or Copper oxychloride 3 g/lit or 200 ppmStreptocycline for 30 minutes and Application of Trichoderma harzionum along with neem cake @ 1kg/bed helps in preventing cutworm","WEST BENGAL","DARJILING","DARJEELING-PULBAZAR","2014-11-07 18:10:38.280"
"KHARIF","HORTICULTURE","Fruits","Guava","	Plant Protection	","WANT TO KNOWN ABOUT CONTROL OF MEALY BUG IN GUAVA.","RECOMMENDED FOR SPRAY  CHLORPYRIPHOS 20% EC @ 2.5 ML  / LIT OF WATER.","WEST BENGAL","DARJILING","MATIGARA                                          ","2014-11-08 07:43:00.810"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Fertilizer Use and Availability","MICRONUTRIENT MIXTURE DOSE","RECOMMENDED DOSE FOR SPRAYING MICRONUTRIENT MIXTURE @ 2GM/L OF WATER","WEST BENGAL","DARJILING","KHARIBARI                                         ","2014-11-08 16:09:32.807"
"KHARIF","HORTICULTURE","Condiments and Spices","Coriander","Cultural Practices","ASKING ABOUT SEED TREATMENT IN CORIANDER.","RECOMMENDED FOR APPLY CARBENDAZIM 50% WP @ 2 GM / LIT OF WATER.","WEST BENGAL","DARJILING","KHARIBARI                                         ","2014-11-08 16:45:45.810"
"KHARIF","HORTICULTURE","Condiments and Spices","Bay Leaf","	Plant Protection	","CONTROL OF LEAF SPOT IN BAY LEAF.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER","WEST BENGAL","DARJILING","KHARIBARI                                         ","2014-11-09 10:24:33.613"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","CONTROL OF STEM ROT OF CAULIFLOWER","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50% W.P. @ 4 GM/LT. OF WATER","WEST BENGAL","DARJILING","PHANSIDEWA                                        ","2014-11-09 17:25:55.487"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Soil Testing","ASKING ABOUT SOIL TESTING LABOUTARY CENTRE IN KALIMPONG.","RECOMMENDED FOR VISIT OR CONTACT NEAREST SAILABASH,9TH MILE KALIMPONG,DIST:DARJEELING,WEST BANGAL.","WEST BENGAL","DARJILING","KALIMPONG-I","2014-11-11 13:49:30.360"
"KHARIF","HORTICULTURE","Flowers","Rose","	Plant Protection	","CONTROL OF LEAF HOPPER IN ROSE.","RECOMMENDED FOR SPRAY FIPRONIL 5% SC  @ 1 ML  / LIT OF WATER.","WEST BENGAL","DARJILING","MATIGARA                                          ","2014-11-11 17:11:41.750"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL OF LEAF CURLING IN TOMATO","RECOMMENDED FOR SPRAY FEPRONIL 5% SC @ 2ML/LIT OF WATER","WEST BENGAL","DARJILING","KHARIBARI                                         ","2014-11-14 17:03:52.393"
"RABI","HORTICULTURE","Fruits","Citrus","	Plant Protection	","CONTROL OF FLOWER DROP IN CITRUS.","RECOMMENDED FOR SPRAY ALPHA NEPTHALENE ACETIC ACID  @ 1 ML / 4.5 LIT OF WATER.","WEST BENGAL","DARJILING","DARJEELING-PULBAZAR","2014-11-14 18:09:58.517"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","CONTROL OF LATE BLIGHT IN POTATO","RECOMMENDED FOR SPRAY (METALAXYL 8%+MANCOZEB 64%) 72% W.P. @ 2.5 GM/LT. OF WATER","WEST BENGAL","DARJILING","KHARIBARI                                         ","2014-11-15 06:56:19.677"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","ATTACK OF LEAF BLIGHT IN CAULIFLOWER","RECOMMENDED FOR SPRAY OF  COPPER OXYCHLORIDE 50 % WP @ 4 GM /LIT OF WATER","WEST BENGAL","DARJILING","KHARIBARI                                         ","2014-11-15 08:23:28.937"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WANT TO KNOW ABOUT WEATHER REPORTS IN DARJILING.","INDIA METEOROLOGICAL DEPARTMENT(RAINFALL MM) 16/11/14 NO R4AINFALL.","WEST BENGAL","DARJILING","NAXAL BARI                                        ","2014-11-15 17:06:16.863"
"KHARIF","HORTICULTURE","Fruits","Litchi","	Plant Protection	","CONTROL OF MITE IN LITCHI","RECOMMENDED FOR SPRAY PROPERGITES 57% EC @ 2 ML / LIT OF WATER.","WEST BENGAL","DARJILING","MATIGARA                                          ","2014-11-16 16:52:56.247"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ASKING ABOUT GOVERNMENT SCHEMES","ADVICE TO CONTACT WITH LOCAL A.D.A","WEST BENGAL","DARJILING","KHARIBARI                                         ","2014-11-16 17:53:12.090"
"RABI","HORTICULTURE","Flowers","Marigold","Cultural Practices","ASKING ABOUT FERTILIZER USE IN MARIGOLD.","USE FYM AND NPK AS PER YOUR SOIL REQUARMENT.","WEST BENGAL","DARJILING","NAXAL BARI                                        ","2014-11-16 18:59:28.493"
"RABI","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Livestock Products Processing and Packaging","ASKING ABOUT TRAINING FOR POULTRY FARM.","ADVICE TO CONTACT WITH BLOCK LIVESTOCK DEVELOPMENT OFFICER IN YOUR BLOCK.","WEST BENGAL","DARJILING","MATIGARA                                          ","2014-11-18 07:27:14.490"
"KHARIF","HORTICULTURE","Vegetables","Broad Bean","Fertilizer Use and Availability","ASKED ABOUT SOIL TEST.","ADVICE SOIL TEST AND CONTACT WITH ADA/KPS/BTM-ATMA,BLOCK.","WEST BENGAL","DARJILING","KHARIBARI                                         ","2014-11-19 15:59:28.190"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","STEM ROT IN CHILLI","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE @ 4 GM/ LT. OF WATER.","WEST BENGAL","DARJILING","GORUBATHAN","2014-11-21 08:13:30.093"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF SHOOT BORER IN BRINJAL.","RECOMMENDED FOR SPRAY SPINOSAD 45% EC @ 1 ML / 5 LIT OF WATER.","WEST BENGAL","DARJILING","PHANSIDEWA                                        ","2014-11-22 09:10:26.927"
"RABI","HORTICULTURE","Vegetables","Beans ","Fertilizer Use and Availability","ASKING ABOUT FIRST TOP DRESSING TIME IN BEANS.","RECOMMENDED FIRST TOP DRESSING TIME IN BEANS IS AT THE TIME OF FLOWERING.","WEST BENGAL","DARJILING","PHANSIDEWA                                        ","2014-11-23 18:33:46.763"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL OF FLOWER DROPPING IN COCONUT.","RECOMENDED FOR SPRAY NAA @ 1 ML/ 4.5 LITER OF WATER.","WEST BENGAL","DARJILING","GORUBATHAN","2014-11-25 20:37:08.867"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","CONTROL OF LEAF CURL IN BITTER GOURD","RECOMMENDED FOR SPRAY  DIMETHOATE 30% EC @ 2 ML  / LIT OF WATER.","WEST BENGAL","DARJILING","NAXAL BARI                                        ","2014-11-26 16:01:13.433"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF LEAF SPOT IN CHILLI.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @ 4 GM / LIT. OF WATER.","WEST BENGAL","DARJILING","NAXAL BARI                                        ","2014-11-27 07:27:15.897"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Asking about Aphids in cauliflower?","Recommended for spray of Azadirachtin/Neem oil 5% EC @ 3ml/lit of water and or Dimethoate 30 % EC @ 7.0ml/10 lit","WEST BENGAL","DARJILING","DARJEELING-PULBAZAR","2014-11-27 14:47:23.483"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT.","NO RAIN FALL.","WEST BENGAL","DARJILING","PHANSIDEWA                                        ","2014-11-27 19:09:39.750"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","CONTROL OF STEM ROT IN CABBAGE.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","DARJILING","PHANSIDEWA                                        ","2014-11-27 19:13:21.617"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","WANT TO KNOW ABOUT SPACING OF CITRUS","4.5 M X 4.5 M","WEST BENGAL","DARJILING","MIRIK","2014-11-29 10:36:17.400"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","WHIT FLY IN BEANT","RECOMMENDED FOR SPRAY DIMETHOATE @ 2 ML/ LT. OF WATER","WEST BENGAL","DARJILING","NAXAL BARI                                        ","2014-11-29 10:56:30.593"
"RABI","AGRICULTURE","Others","Others","Weather","WANT TO KNOW ABOUT WEATHER INFORMATION","ALL INFORMATION GIVEN IN DETAILS","WEST BENGAL","DARJILING","NAXAL BARI                                        ","2014-11-29 11:32:22.990"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","WANT TO KNOW ABOUT SOIL TEST","CONTACT TO KNOW ABOUT SOIL TEST","WEST BENGAL","DARJILING","PHANSIDEWA                                        ","2014-11-29 16:57:09.660"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","LEAF ROT IN BOTTLE GOURD","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE @ 4 GM/ LT. OF WATER.","WEST BENGAL","DARJILING","MATIGARA                                          ","2014-11-30 09:57:28.593"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","ASKING ABOUT FRUIT DROP IN COCONUT.","RECOMMENDED FOR SPRAY ALPHA NEPTHALENE ACETIC ACID  @ 1 ML / 4.5 LIT OF WATER.","WEST BENGAL","DARJILING","MATIGARA                                          ","2014-11-30 15:54:50.553"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION.","RECOMMENDED FOR TODAY WILLNOT RAIN.","WEST BENGAL","DARJILING","PHANSIDEWA                                        ","2014-11-30 19:13:10.923"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION.","RECOMMENDED FOR TODAY WILLNOT RAIN.","WEST BENGAL","DARJILING","PHANSIDEWA                                        ","2014-11-30 19:13:11.473"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Asking about Potato aphids?","Recomended for spray of Methyl demeton 25 EC or Dimethoate 30 EC 2 ml/lit","WEST BENGAL","DARJILING","DARJEELING-PULBAZAR","2014-11-30 20:19:54.507"
