"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT SEED TREATMENT OF POTATO.","RECOMMENDED FOR USE MANCOZEB @ 2.5 GM / KG OF SEED.","WEST BENGAL","HOWRAH","BALLY-JAGACHA                                     ","2014-11-01 12:00:08.327"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT IN HOWRAH DISTRICT ON 01/11/2014.","NO RAIN FALL IN HOWRAH DISTRICT ON 01/11/2014.","WEST BENGAL","HOWRAH","JAGATBALLAVPUR                                    ","2014-11-01 12:25:38.607"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","CONTROL OF APHID IN MARIGOLD","RECOMMENDED FOR SPRAY AZADIRACHTIN 1% EC @ 3 ML/LIT. OF WATER","WEST BENGAL","HOWRAH","SHYAMPUR-II                                       ","2014-11-01 17:12:27.007"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","ASKING ABOUT SEED TRETMENTR IN POTATO","RECOMMENDED FOR SPRAY MANCOZEB 75%WP @ 2.5 GM /1KG OF SEED","WEST BENGAL","HOWRAH","UDAYNARAYANPUR                                    ","2014-11-01 17:40:55.793"
"KHARIF","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","WANT TO KNOW ABOUT FERTILIZERS APPLICATION IN POTATO.","APPLY FERTILIZERS ACCORDING TO SOIL TESTING REPORT OR SUGGESTION BY A.D.A.","WEST BENGAL","HOWRAH","UDAYNARAYANPUR                                    ","2014-11-01 18:32:16.433"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Varieties","WANT TO ABOUT VARIETIES IN SESAME","BINOY(B-9),SUBINOI, JHUMKA","WEST BENGAL","HOWRAH","AMTA-I                                            ","2014-11-01 20:20:45.450"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","CONTROL OF BLACK LEAF SPOT IN BETEL VINE.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","HOWRAH","ULUBERIA-I                                        ","2014-11-02 07:14:57.220"
"KHARIF","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","CULTIVATION OF BOYAL FISH","CONTACT WITH BLOCK FISHERY EXTENSION OFFICER","WEST BENGAL","HOWRAH","BAGNAN-I                                          ","2014-11-02 09:23:23.460"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","CONTROL OF STEM ROT OF BEANS","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50% W.P. @ 4 GM/LT. OF WATER","WEST BENGAL","HOWRAH","JAGATBALLAVPUR                                    ","2014-11-02 15:23:38.933"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","ASKING WATHER REPORT IN HOWRAH","NO RAINFAL","WEST BENGAL","HOWRAH","AMTA-I                                            ","2014-11-02 18:15:34.093"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF BACTERIAL BLIGHT IN BRINJAL","RECOMMENDED FOR SPRAY STREPTOCYCLINE 9:1 SP ( 90:10 SP) @ 1 GM / 10 LIT OF WATER.","WEST BENGAL","HOWRAH","AMTA-I                                            ","2014-11-02 18:22:46.750"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","MEALY BUG IN POTATO","RECOMMENDED FOR SPRAYING ACEPHATE @ 1.5 GM/ 2L OF WATER","WEST BENGAL","HOWRAH","HOWARH MUNCIPAL CORPORATION","2014-11-03 09:55:47.143"
