"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL OF LEAF CURLING IN TOMATO","RECOMMENDED FOR SPRAY FEPRONIL 5% SC @ 2ML/LIT OF WATER","WEST BENGAL","JALPAIGURI","ALIPURDUAR-I                                      ","2014-11-01 08:26:24.173"
"KHARIF","HORTICULTURE","Vegetables","Spinach (Palak)","	Plant Protection	","CONTROL OF FOOT ROT IN SPINACH.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","JALPAIGURI","JALPAIGURI SADAR","2014-11-01 09:42:47.113"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL OF  MITES IN TOMATO.","RECOMMENDED FOR FENAZAQUIN 10%EC @ 1.5 ML/LIT. OF WATER.","WEST BENGAL","JALPAIGURI","KUMARGRAM                                         ","2014-11-01 14:41:31.100"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","CONTROL OF STEM ROT IN CABBAGE.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50%WP @ 4 GM/LIT. OF WATER.","WEST BENGAL","JALPAIGURI","KUMARGRAM                                         ","2014-11-01 14:42:33.480"
"RABI","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT OF JALPAIGURI DISTRICT","Partly cloudy sky possibility of no rainfall","WEST BENGAL","JALPAIGURI","KUMARGRAM                                         ","2014-11-01 14:48:48.450"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","CONTROL OF BLIGHT IN ONION","RECOMMENDED FOR SPRAY  MANCOZEB 75% WP @ 2.5 GM / LIT OF WATER.","WEST BENGAL","JALPAIGURI","JALPAIGURI                                        ","2014-11-01 15:48:43.867"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING WATHER REPORT","NO RAINFAL","WEST BENGAL","JALPAIGURI","ALIPURDUAR-I                                      ","2014-11-01 17:56:05.420"
"RABI","HORTICULTURE","Fruits","Aonla","	Plant Protection	","CONTROL OF FLWER DROPPING IN AONLA","RECOMMENDED FOR  SPRAY ALPHA NAPTHALENE ACETIC ACID @ 1 ML/4.5 LT. OF WATER","WEST BENGAL","JALPAIGURI","MAYNAGURI                                         ","2014-11-01 21:11:26.327"
"RABI","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT OF JALPAIGURI DISTRICT","Partly cloudy sky with possibility of no rainfall","WEST BENGAL","JALPAIGURI","ALIPURDUAR-II                                     ","2014-11-02 18:27:52.947"
"RABI","HORTICULTURE","Vegetables","Broad Bean","Cultural Practices","ASKING FOR OVER GROWTH OF PLANT","RECOMMENDED FOR APPLICATION OF POTASH FERTILIZER .","WEST BENGAL","JALPAIGURI","DHUPGURI                                          ","2014-11-03 12:21:57.393"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","WANT TO KNOW ABOUT INCREASE YIELD TIPS IN POTATO.","RECOMMENDED FOR SPRAY GRADE 2  @  2-3 ML / LIT OF WATER.","WEST BENGAL","JALPAIGURI","JALPAIGURI SADAR","2014-11-03 15:30:23.237"
"RABI","HORTICULTURE","Vegetables","Garden Pea","	Plant Protection	","CONTROL OF ROOT ROT IN GARDEN PEA","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50%WP @ 4 GM/LIT.OF WATER","WEST BENGAL","JALPAIGURI","RAJGANJ                                           ","2014-11-03 18:15:18.197"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","ASKING ABOUT MARKET INFORMATION IN PADDY.","MARKET RATE PADDY IN SAMSI MARKET RS.-1375/QUINTAL.","WEST BENGAL","JALPAIGURI","JALPAIGURI                                        ","2014-11-03 18:54:16.523"
"KHARIF","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","FERTILIZER DOSE OF POTATO.","ADVICE SOIL TEST AND CONTACT WITH ADA/KPS/BTM-ATMA, BLOCK.","WEST BENGAL","JALPAIGURI","MAYNAGURI                                         ","2014-11-03 20:21:04.550"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","CONREOL OF FLOWER DROPPING IN BEAN","RECOMMENDED FOR SPRAY BORON 2 GM  / LIT OF WATER.","WEST BENGAL","JALPAIGURI","DHUPGURI                                          ","2014-11-04 09:45:28.183"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","LEAF CURLING IN CHILLIES","RECOMMENDED FOR SPRAYING FENAZAQUIN @ 2ML/L OF WATER","WEST BENGAL","JALPAIGURI","FALAKATA                                          ","2014-11-04 10:09:36.780"
