"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASKING ABOUT NUTRIENT MANAGEMENT IN BRINJAL.","RECOMMENDED FOR SPRAY GRADE 2  @  2-3 ML / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-01 08:09:08.110"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","WANT TO KNOWN ABOUT CONTROL OF FRUIT BORER IN BRINJAL.","RECOMMENDED FOR SPRAY  FLUBENDIAMIDE 39.35% SC @ 1 ML  / 5  LIT OF WATER.","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-01 08:25:58.130"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","CONTROL OF STEM ROT IN CABBAGE. `","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-01 09:02:30.033"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","SOIL TESTING","RECOMMENDED FOR CONTACT CONTACT A.D.A OFFICE","WEST BENGAL","KOCH BIHAR","MEKLIGANJ                                         ","2014-11-01 20:06:47.693"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Seeds","SOME VARIETY OF MAIZE.","RECOMMENDED FOR SEASON STRAIN 
Adipattam (July - August) TNAU maize hybrid Co 6, Baby corn Co(Bc) 1 
Purattasipattam (September - October)  TNAU maize hybrid Co 6, Baby corn Co(Bc) 1 
Thaipattam (January - February) TNAU maize hybrid Co 6, Baby corn Co(Bc) 1","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-01 20:15:38.760"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Varieties","ASKING FOR VARIETY NAD SEED RATE.","RECOMMENDED FOR VARIETY =PUSA COMPOSIT, SAKTIMAN-1 AZAD.SEED RATE=3KG/BIGHA.","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-01 20:25:46.393"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF STEM ROT IN CUCUMBER.","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50%WP @ 4 GM/LIT. OF WATER.","WEST BENGAL","KOCH BIHAR","COOCH BEHAR-I                                     ","2014-11-01 20:52:09.467"
"RABI","HORTICULTURE","Vegetables","Garden Pea","	Plant Protection	","CONTROL OF BACTERIAL WILT IN GARDEN PEA","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50%WP @ 4 GM/LIT.OF WATER","WEST BENGAL","KOCH BIHAR","MATHABHANGA-I                                     ","2014-11-02 07:17:35.237"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","Cultural Practices","WANT TO KNOW ABOUT FERTILIZERS APPLICATION IN CABBAGE.","APPLY FERTILIZERS ACCORDING TO SOIL TESTING REPORT OR SUGGESTION BY A.D.A.","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-02 08:51:13.953"
"KHARIF","AGRICULTURE","Fiber Crops","Jute","Seeds","WANT TO KNOW ABOUT MARKET INFORMATION OF JUTE.","RECOMMENDED FOR MODEL PRICE OF JUTE IN W.B. 3100/OUINTAL.","WEST BENGAL","KOCH BIHAR","COOCH BEHAR II                                    ","2014-11-02 15:09:19.240"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF YELLOW SPOTS IN CUCUMBER.","RECOMMENDED FOR SPRAY  CARBENDAZIM 25% + MANCOZEB 50% (75% WP) @ 3 GM  / LIT OF WATER.
RECOMMENDED FOR SPRAY GRADE 2  @  2-3 ML / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-02 18:55:02.967"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","WANT TO KNOW ABOUT SOIL TEST","CONTACT WITH LOCAL A.D.A.","WEST BENGAL","KOCH BIHAR","DINHATA-II                                        ","2014-11-02 19:32:38.693"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF LEAF CURL OF CUCUMBER","RECOMMENDED FOR SPRAY DIMETHOATE 30% E.C. @ 2 ML/LT. OF WATER","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-02 19:58:55.967"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","SOIL BOARN INSECT","RECOMENDED FOR APPLY PHORATE 10G @ 3-4 KG/ BIGHA","WEST BENGAL","KOCH BIHAR","COOCH BEHAR II                                    ","2014-11-03 17:53:01.363"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF ROOT ROT IN CHILLIES","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50%WP @ 4 GM/LIT.OF WATER","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-04 10:38:53.640"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","CONTROL OF ANT IN BOTTLE GOURD.","RECOMMENDED FOR SPRAY CHLORPYRIPHOS 20%EC @ 2-2.5 ML/LIT. OF WATER.","WEST BENGAL","KOCH BIHAR","COOCH BEHAR II                                    ","2014-11-04 10:43:07.340"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF STEM ROT IN BRINJAL.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","TUFANGANJ-II                                      ","2014-11-04 13:21:58.427"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF FALE SMUT IN PADDY.","RECOMMENDED FOR SPRAY  CHLOROTHALONIL 75% WP  @ 2 GM  / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","COOCH BEHAR-I                                     ","2014-11-04 16:56:56.300"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Government Schemes","ASKED ABOUT GOVT SCHEMES.","ADVICE TO CONTACT WITH ADA/KPS/BTM-ATMA, BLOCK.","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-04 19:42:11.803"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL OF INMATURE FRUIT DROP IN COCONUT.","RECOMMENDED FOR APPLY BORAX FOR ROOT FEEDING AFTER THAN APPLY PLANOFIX @ 1ML/4.5IT. OF WATER.","WEST BENGAL","KOCH BIHAR","COOCH BEHAR-I                                     ","2014-11-05 09:26:45.563"
"KHARIF","HORTICULTURE","Vegetables","Garden Pea","	Plant Protection	","CONTROL OF ANT IN PEA.","RECOMMENDED FOR SPRAY  CHLORPYRIPHOS 20% EC @ 2.5 ML  / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-05 10:47:48.240"
"KHARIF","HORTICULTURE","Vegetables","Garden Pea","Cultural Practices","ASKING ABOUT SEED TREATMENT IN PEA.","RECOMMENDED FOR SPRAY TRICODARMA VIRIDI @ 5 GM / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-05 10:48:58.053"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF BACTERIAL WILT IN BRINJAL","ECOMMENDED FOR SPRAY STREPTOCYCLINE 9:1 SP ( 90:10 SP) @ 1 GM / 10 LIT OF WATER.","WEST BENGAL","KOCH BIHAR","HALDIBARI                                         ","2014-11-05 11:57:22.490"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF ROOT ROT IN CHILLI.","RECOMMENDED FOR SPRAY VALIDAMYCIN @ 2ML/LIT OF WATER.","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-05 12:48:26.977"
"KHARIF","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","ASKING ABOUT SEED TREATMENT OF POTATO.","SEED TREATMENT WITH MANCOZEB 75 % WP @ 3 GM/ LITER OF WATER. SOAKED UPTO 5- 7 MIN.","WEST BENGAL","KOCH BIHAR","MATHABHANGA-I                                     ","2014-11-05 18:01:56.267"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT.","INDIA METEOROLOGICAL DEPARTMENT Rainfall (mm) - 06/11/14- 0 MM, 07/11/14- 0 MM,08/11/14- 0 MM,  09/11/14- 0 MM, AND 10/11/14- 0 MM,","WEST BENGAL","KOCH BIHAR","SITALKUCHI                                        ","2014-11-05 18:57:17.473"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF BACTERIAL WILT IN BRINJAL.","RECOMMENDED FOR SPRAY STREPTOCYCLINE 9:1 SP ( 90:10 SP) @ 1 GM / 10 LIT OF WATER.","WEST BENGAL","KOCH BIHAR","DINHATA-II                                        ","2014-11-05 20:15:31.857"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF LEAF CUTTERPILLAR IN CUCUMBER.","RECOMMENDED FOR SPRAY  ACEPHATE 75% SP @ 1.5 GM / 2 LIT OF WATER.","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-05 20:16:52.430"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","SOME VARIETIES OF POTATO.","RECOMMENDED FOR APPLY Kufri Jyoti, Kufri Muthu, Kufri Swarna, Kufri Thangam, Kufri Malar, Kufri Soga ETC.","WEST BENGAL","KOCH BIHAR","DINHATA-II                                        ","2014-11-06 06:27:48.710"
"KHARIF","AGRICULTURE","Others","Others","Cultural Practices","WANT TO KNOW ABOUT WEATHER REPORTS IN KOCH BIHAR.","INDIA METEOROLOGICAL DEPARTMENT(RAINFALL MM)6/11/14 NO RAINFALL.","WEST BENGAL","KOCH BIHAR","COOCH BEHAR II                                    ","2014-11-06 07:05:19.110"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF WHITE FLY IN CHILLIES","RECOMMENDED FOR SPRAY AZADIRACHTIN 1% EC @ 3 ML/LITER OF WATER","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-06 08:00:46.860"
"KHARIF","AGRICULTURE","Fiber Crops","Jute","Market Information","WANT TO KNOW ABOUT MARKET IN FORMATION OF JUTE","CONTACT WITH BLOCK  [ ASSISTANT DIRECTOR OF AGRICULTURE(A.D.A)]","WEST BENGAL","KOCH BIHAR","COOCH BEHAR II                                    ","2014-11-06 14:25:25.200"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL OF LEAF ROT IN COCONUT","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","DINHATA-I                                         ","2014-11-06 14:27:07.337"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","CONTROL OF FLOWER BROWNISH IN BOTTLE GOURD.","RECOMMENDED FOR SPRAY METALAXYL 8% + MANCOZEB 64% (72%) WP @ 2.5 GM/LIT. OF WATER","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-06 16:55:28.777"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","SEED TREATMENT OF  POTATO","SEED TREATMENT WITH METHOXY ETHYL MERCURIC CHLORIDE @ 2 GM /LIT OF WATER","WEST BENGAL","KOCH BIHAR","MEKLIGANJ                                         ","2014-11-06 17:28:34.470"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING ABOUT SEEDLING TREATMENT IN TOMATO.","RECOMMENDED FOR USE MANCOZEB 75% WP @ 2.5 GM / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-06 18:26:46.833"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","CONTROL OF LEAF ROT IN CABBAGE.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-06 19:26:01.590"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF STEM ROT OF CUCUMBER","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50% W.P. @ 4 GM/LT. OF WATER","WEST BENGAL","KOCH BIHAR","COOCH BEHAR-I                                     ","2014-11-06 19:32:38.610"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL OF LEAF CURL IN CHILLIES.","RECOMMENDED FOR SPRAY DIMETHOATE 30% E.C. @ 2 ML / LIT. OF WATER.","WEST BENGAL","KOCH BIHAR","TUFANGANJ-II                                      ","2014-11-07 14:09:30.570"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF MITES IN BRINJAL.","RECOMMENDED FOR SPRAY ENAZAQUIN 10%EC @ 1.5 ML/LIT. OF WATER.","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-07 17:37:12.343"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF BACTERIAL WILT IN BRINJAL.","RECOMMENDED FOR SPRAY STREPTOCYCLINE 9:1 SP ( 90:10 SP) @ 1 GM / 10 LIT OF WATER.","WEST BENGAL","KOCH BIHAR","SITAI                                             ","2014-11-07 18:04:59.173"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Seeds","WHICH MUSTARD VARIETY MAY SELECT FOR THIS TIME.","RECOMMENDED MUSTARD VARIETY FOR TISH TIME IS BURANA.","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-07 19:37:29.217"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING SEED TRETMENT IN POTAO","RECOMMENDED FOR USE MANCOZEB @ 3GM/LIT OF WATER","WEST BENGAL","KOCH BIHAR","HALDIBARI                                         ","2014-11-08 06:27:45.857"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF WHITE FLY IN CUCUMBER.","RECOMMENDED FOR SPRAY ACETAMIPRID 20% SP @ 1 GM/ 5 LIT OF WATER.","WEST BENGAL","KOCH BIHAR","COOCH BEHAR II                                    ","2014-11-08 08:44:26.360"
"RABI","AGRICULTURE","Others","Others","Weather","ASKING WATHER REPORT","NO RAINFAL","WEST BENGAL","KOCH BIHAR","DINHATA-I                                         ","2014-11-08 08:58:17.680"
"RABI","HORTICULTURE","Vegetables","Onion","Nutrient Management","varieties of onion","recommended varieties of onion sukhsagar,Agri Found Light Red, Agri Found Dark Red,  Arka Niketan","WEST BENGAL","KOCH BIHAR","MATHABHANGA-I                                     ","2014-11-08 14:00:39.000"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","NUTRITIONAL DEFICIENCY OF GARLIC","RECOMMENDED FOR SPRAY OF   GRADE -1  @ 3 GM/ LITRE OF WATER","WEST BENGAL","KOCH BIHAR","COOCH BEHAR II                                    ","2014-11-08 20:08:26.357"
"RABI","HORTICULTURE","Medicinal and Aromatic Plants","Aloe Vera","	Plant Protection	","ATTACK OF LEAF SPOT IN ALOE VERA","RECOMMENDED FOR SPRAY OF  COPPER OXYCHLORIDE 50 % WP @ 4 GM /LIT OF WATER","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-08 20:25:19.790"
"KHARIF","HORTICULTURE","Vegetables","Potato","Soil Testing","SOIL TEST.","RECOMMENDED FOR CONTACT WITH A.D.A.","WEST BENGAL","KOCH BIHAR","SITALKUCHI                                        ","2014-11-09 09:59:02.483"
"RABI","AGRICULTURE","Others","Others","Weather","WANT TO KNOW ABOUT WEATHER INFORMATION","ALL INFORMATION GIVEN IN DETAILS","WEST BENGAL","KOCH BIHAR","SITAI                                             ","2014-11-09 10:56:48.610"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF SHOOT BORER IN BRINJAL.","RECOMMENDED FOR SPRAY MAMECTIN BENZOATE 5% SG @ 0.5 GM/LIT. OF WATER.","WEST BENGAL","KOCH BIHAR","COOCH BEHAR-I                                     ","2014-11-09 10:59:49.103"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF WHITE FLY IN CUCUMBER.","RECOMMENDED FOR SPRAY ACETAMIPRID 20% SP @ 1 GM  / 5 LIT OF WATER.","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-09 11:10:18.317"
"KHARIF","HORTICULTURE","Vegetables","Spinach (Palak)","	Plant Protection	","PRECUTION FROM SPINACH INSECT.","RECOMMENDED FOR SPRAY AZADIRECHTIN 1% @ 3 ml./LIT. OF WATER.","WEST BENGAL","KOCH BIHAR","COOCH BEHAR II                                    ","2014-11-09 11:30:16.327"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","CONTROL OF LEAF SPOT IN PEA","RECOMMENDED FOR SPRAY MANCOZEB 75% WP @ 2.5 GM / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-09 12:33:14.027"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL OF BACERIL WILT IN TOMATO.","RECOMMENDED FOR SPRAY STREPTOCYCLINE 90% SP @ 1 GM/10LIT. OF WATER.","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-09 12:44:16.550"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF WHITE FLY IN CUMBER.","RECOMMENDED FOR SPRAY ACETAMIPRID 20% SP @ 1 GM  / 5 LIT OF WATER.","WEST BENGAL","KOCH BIHAR","COOCH BEHAR-I                                     ","2014-11-09 13:24:26.530"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF KOCH-BEHAR.","NO RAINFALL SLIGHTLY CLOUDY SKY.","WEST BENGAL","KOCH BIHAR","SITALKUCHI                                        ","2014-11-09 14:12:18.393"
"KHARIF","HORTICULTURE","Vegetables","Potato","Cultural Practices","WANT TO KNOW ABOUT SEED TREATMENT OF POTATO.","APPLY MANCOZEB 75% WP @ 2.5 GM / LIT. OF WATER FOR POTATO SEED TREATMENT.","WEST BENGAL","KOCH BIHAR","COOCH BEHAR-I                                     ","2014-11-09 17:24:05.447"
"KHARIF","AGRICULTURE","Others","Others","Weather","WANT TO KNOW ABOUT WEATHER REPORTS IN COOCH BIHAR.","INDIA METEOROLOGICAL DEPARTMENT (RAINFALL MM)10/11/14 NO RAINFALL","WEST BENGAL","KOCH BIHAR","COOCH BEHAR-I                                     ","2014-11-09 17:27:15.850"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","SEED TREATEMENT OF POTATO","RECOMMENDED FOR APPLY MANCOZEB 75% W.P. @ 2.5 GM/LT. OF WATER","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-09 18:20:28.783"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF LEAF BLIGHT OF CUCUMBER","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50% W.P. @ 4 GM/LT. OF WATER","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-09 19:42:21.587"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","ASKING ABOUT SEED TREATMENT FOR PADDY.","RECOMMENDED FOR USE CARBENDAZIM 50% WP @ 1 MG  / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","TUFANGANJ-II                                      ","2014-11-10 06:51:35.493"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF ROOT CRAKING IN CUCUMBER","RECOMMENDED FOR SPRAY THIOPHENITE MITHYEL @ 1GM/LIT + CLOROTHIRYNOL @ 2GM /LIT OF WATER","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-10 07:40:31.070"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","NO RAINFALL FOR NEXT FIVE DAYS","WEST BENGAL","KOCH BIHAR","DINHATA-I                                         ","2014-11-10 10:25:38.753"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","FERTILIZER DOSE OF CHILLI.","ADVICE SOIL TEST AND CONTACT WITH ADA/KPS/BTM-ATMA, BLOCK.","WEST BENGAL","KOCH BIHAR","SITALKUCHI                                        ","2014-11-10 17:10:10.277"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF LEAF CURL IN CHILLIES","RECOMMENDED FOR SPRAY ACETAMIPRID 20%SP @ 1 GM /5 LIT.OF WATER","WEST BENGAL","KOCH BIHAR","TUFANGANJ-I                                       ","2014-11-10 18:31:58.427"
"KHARIF","HORTICULTURE","Fruits","Citrus","Cultural Practices","PROPAGATION METHODS OF CITRUS.","NEEDS TRAINING ON PROPAGATION METHODS ON FRUIT CROPS.","WEST BENGAL","KOCH BIHAR","MATHA BHANGA-II                                   ","2014-11-11 11:12:50.287"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","WANT TO KNOWN NUTRITIONAL DEFFICIENCY OF CITRUS.","RECOMMENDED FOR SPRAY GRADE 4  @  2-3 ML / LIT OF WATER.","WEST BENGAL","KOCH BIHAR","COOCH BEHAR II                                    ","2014-11-11 13:00:01.180"
