"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Potato","Cultural Practices","WANT TO KNOW ABOUT DURATION OF POTATO.","FOR EARLY VARIETY=70-80DAYS, MIDDLE=90-110DAYS, LATE=110-130DAYS.","WEST BENGAL","KOLKATTA","Kolkata","2014-11-01 21:59:35.993"
"KHARIF","HORTICULTURE","Flowers","Marigold","	Plant Protection	","bacterial wilt of marigold","RECOMMENDED FOR SPRAY TRICHODERMA VIRIDE @ 5 GM./LIT. OF WATER AND PSEUDOMONAS FLUORESCENCE @ 5 GM./LIT. OF WATER.","WEST BENGAL","KOLKATTA","Kolkata","2014-11-03 09:56:13.900"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Seeds and Planting Material","SOME VARIETY OF CHILLIES.","RECOMMENDED FOR YOUR VARIETIES ARE K 1, K 2, CO 2, CO 4 (vegetable type), PKM 1, PMK 1 ETC.","WEST BENGAL","KOLKATTA","Kolkata","2014-11-03 10:02:06.440"
"KHARIF","HORTICULTURE","Flowers","Hibiscus (Gurhal)","	Plant Protection	","CONTROL OF MEALY BUG IN HIBISCUS.","RECOMMENDED FOR SPRAY  ACEPHATE 75% SP @ 1.5 GM / 2 LIT OF WATER.","WEST BENGAL","KOLKATTA","Kolkata","2014-11-03 17:00:05.363"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","MEALY BUG IN MARIGOLD","RECOMMENDED FOR SPRAYING DIMETHOATE @ 2ML/L OF WATER","WEST BENGAL","KOLKATTA","Kolkata","2014-11-06 07:57:34.800"
"RABI","AGRICULTURE","Others","Others","Weather","ASKING WATHER REPORT","NO RAINFAL","WEST BENGAL","KOLKATTA","Kolkata","2014-11-08 07:57:53.723"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL OF WEED IN COCONUT.","RECOMMENDED FOR USE PROPANIL 35% EC @ 2 LIT / ACRE + 2,4 D 34% EC @ 200 ML / ACRE.","WEST BENGAL","KOLKATTA","Kolkata","2014-11-09 19:44:46.637"
"KHARIF","HORTICULTURE","Flowers","Chrysanthemum","	Plant Protection	","CONTROL OF LEAF EATING CATERPILLER IN CHRYSANTHEMUM","RECOMMENDED FOR SPRAY  ACEPHATE 75% SP @ 1.5 GM / 2 LIT OF WATER.","WEST BENGAL","KOLKATTA","Kolkata","2014-11-10 13:40:33.320"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","CONTROL OF LEAF MINER IN CITRUS.","RECOMMENDED FOR SPRAY MONOCROTOPHOS 36% SL @ 1.5 ML / LIT. OF WATER.","WEST BENGAL","KOLKATTA","Kolkata","2014-11-11 19:10:30.157"
"RABI","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT.","MAINLY CLEAR SKY.","WEST BENGAL","KOLKATTA","Kolkata","2014-11-12 12:16:19.537"
"KHARIF","HORTICULTURE","Flowers","Rose","	Plant Protection	","CONTROL OF FLOWER DROPPING IN ROSE","RECOMMENDED DOSE SPRAY BORON 2GM/LIT OF WATER","WEST BENGAL","KOLKATTA","Kolkata","2014-11-14 15:16:45.217"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Seeds","ASKING ABOUT SOME SWEET CORN VARIETIES.","SOME SWEET CORN VARIETIES- MADONA, SUPER SWEET, PRIYA, SWEET PEARL.","WEST BENGAL","KOLKATTA","Kolkata","2014-11-15 10:28:45.923"
"KHARIF","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","FERTILIZER DOSE OF POTATO.","ADVICE SOIL TEST AND CONTACT WITH ADA/KPS/BTM-ATMA,BLOCK.","WEST BENGAL","KOLKATTA","Kolkata","2014-11-16 14:51:31.377"
