"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","CONTROL OF CATTER PILLER OF MAIZE","RECOMMENDED FOR SPRAY CHLORPYRIPHOS 20% E.C. @ 2 ML/LT. OF WATER","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-II                               ","2014-11-01 06:30:52.183"
"KHARIF","HORTICULTURE","Vegetables","Potato","Cultural Practices","CULTIVATION OF POTATO","CONTACT WITH BLOCK  [ ASSISTANT DIRECTOR OF AGRICULTURE(A.D.A)]","WEST BENGAL","MALDAH","CHANCHAL-I                                        ","2014-11-01 08:14:34.453"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL OF OF FRUIT BORER IN TOMATO.","RECOMENDED FOR SPRAY AZADIRECTIN 1 % EC @ 3ML/ LITER OF WATER.","WEST BENGAL","MALDAH","ENGLISH BAZAR                                     ","2014-11-01 08:23:46.357"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WANT TO KNOWN ABOUT CONTROL OF STEM BORER.","RECOMMENDED FOR SPRAY  ACEPHATE 75% SP @ 1.5 GM / 2 LIT OF WATER.","WEST BENGAL","MALDAH","CHANCHAL-I                                        ","2014-11-01 08:24:47.383"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Water Management	","ASKING ABOUT WATER MANAGEMENT IN PEA.","RECOMMENDED 1st IRRIGATION IS MUST AT SOWING TIME AND 2nd IRRIGATION IS MUST AT FLOWERING STAGE.","WEST BENGAL","MALDAH","RATUA-I                                           ","2014-11-01 09:41:24.750"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","CONTROL OF STEM ROT OF BITTER GOURD","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50% W.P. @ 4 GM/LT. OF WATER","WEST BENGAL","MALDAH","MANIKCHAK                                         ","2014-11-01 10:18:04.427"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","ASKING ABOUT SEED TRETMENT IN POTATO","RECOMMENDED FOR APPLY MANCOZEB 75%WP @ 2.5 GM /1KG OF SEED","WEST BENGAL","MALDAH","GAZOLE                                            ","2014-11-01 15:12:19.500"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","CONTROL OF LEAF ROT IN POTATO.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50%WP @ 4 GM/LIT. OF WATER.","WEST BENGAL","MALDAH","CHANCHAL-I                                        ","2014-11-01 16:29:46.663"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FRUIT BORER IN BRINJAL.","RECOMMENDED FOR SPRAY ACEPHETE @0.75 GM/LIT OF WATER AND USE PHEROMAN TRAP @12/BIGHA.","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-II                               ","2014-11-01 18:23:28.923"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FRUIT AND SHOOT BORER IN BRINJAL","RECOMMENDED FOR SPRAY  FLUBENDIAMIDE 39.35% SC @ 1 ML  / 5  LIT OF WATER.","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-II                               ","2014-11-01 18:31:35.943"
"KHARIF","AGRICULTURE","Others","Others","Weather","WANT TO KNOW ABOUT WEATHER REPORTS IN MALDAH.","INDIA METEOROLOGICAL DEPARTMENT(RAINFALL MM) 
2/11/14 -NO RAIN FALL.","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I                                ","2014-11-01 21:05:26.933"
"KHARIF","AGRICULTURE","Fiber Crops","Jute","Market Information","ASKING ABOUT MARKET RATE OF JUTE MONTH OF OCTOBER.","RECOMMENDED FOR MARKET RATE OF JUTE IN MALDA  RUPEES 2750.38 / QUINTAL.","WEST BENGAL","MALDAH","CHANCHAL-I                                        ","2014-11-02 07:46:25.093"
"KHARIF","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","	Plant Protection	","CONTROL OF APHID IN MUSTERD.","RECOMMENDED FOR SPRAY  DIMETHOATE 30% EC @ 2 ML  / LIT OF WATER.","WEST BENGAL","MALDAH","CHANCHAL-II                                       ","2014-11-02 08:15:54.040"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","CONTROL OF WEED IN PEA.","APPLY FLUCLORALIN 45 % E.C @ 1.2 LIT/ ACRE.","WEST BENGAL","MALDAH","HABIBPUR                                          ","2014-11-02 09:30:48.323"
"KHARIF","HORTICULTURE","Vegetables","Broad Bean","	Plant Protection	","FLOWER DROPPING IN BROAD BEAN","RECOMMENDED FOR SPRAY OF ALPHA NAPTHALENE ACETIC ACID 4.5 % SOL. @ 1 ML/4.5 LIT OF WATER","WEST BENGAL","MALDAH","KALIACHAK-II                                      ","2014-11-02 09:38:15.020"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF SHOOT BORER IN BRINJAL.","RECOMMENDED FOR APPLY EMAMECTIN BENZOATE 5% SG @ 0.5GM/LIT. OF WATER.","WEST BENGAL","MALDAH","CHANCHAL-I                                        ","2014-11-02 15:28:47.623"
"KHARIF","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","SOIL TEST.","RECOMMENDED FOR CONTACT WITH A.D.A. IN BLOCK.","WEST BENGAL","MALDAH","KALIACHAK-I                                       ","2014-11-02 17:58:43.970"
"KHARIF","AGRICULTURE","Pulses","Horse Gram (kulthi/kultha)","Cultural Practices","ASKING ABOUT CULTURAL PRACTICES IN GARDEN PEA","SEED TREATMENT IN GARDEN PEA= RECOMMENDED FOR MANCOZEB 75% WP @ 2.5 GM / 1 KG SEED..","WEST BENGAL","MALDAH","GAZOLE                                            ","2014-11-02 19:21:15.200"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FLOWER DROP IN BRINJAL.","RECOMMENDED FOR SPRAY N-TRIACONTANAL  @ 1 ML / 3 LIT OF WATER.","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I                                ","2014-11-03 07:09:36.597"
"KHARIF","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","ASKING ABOUT SEED TREATMENT OF ONION.","RECOMMENDED FOR USE MANCOZEB @ 2.5 GM / KG OF SEED.","WEST BENGAL","MALDAH","CHANCHAL-II                                       ","2014-11-03 10:38:55.927"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","YELLOWING OF LEAF IN BITTERGOURD","RECOMMENDED FOR SPRAYING COPPER OXY CHLORIDE @ 4 GM/L OF WATER","WEST BENGAL","MALDAH","MANIKCHAK                                         ","2014-11-03 11:10:44.260"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","CONTROL OF LEAF CUTTERPILLAER IN CAULIFLOWER.","RECOMMENDED FOR SPRAY  CHLORPYRIPHOS 20% EC @ 2.5 ML  / LIT OF WATER.","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-II                               ","2014-11-03 12:21:14.710"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","CONTROL OF FRECKLE LEAF SPOT IN BANANA.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I                                ","2014-11-03 15:41:56.350"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF WHITE FLY IN BRINJAL","RECOMMENDED FOR SPRAY ACETAMIPRID 20% SP @ 1 GM  / 5 LIT OF WATER.","WEST BENGAL","MALDAH","CHANCHAL-II                                       ","2014-11-03 16:12:20.143"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","WANT TO KNOW ABOUT SEEDS TREATMANT IN MUSTARD.","RECOMMENDED FOR APPLY CARBENDAZIM @1 GM/LIT OF WATER.","WEST BENGAL","MALDAH","HABIBPUR                                          ","2014-11-03 18:37:10.123"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","SEED TREATMENT OF WHEAT.","APPLY CARBENDAZIM 50% WP @ 2 GM/ KG SEED.","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I                                ","2014-11-03 21:27:29.203"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","CONTROL OF CUT WORM IN MAIZE.","RECOMMENDED FOR SPRAY  CHLORPYRIPHOS 20% EC @ 2.5 ML  / LIT OF WATER.","WEST BENGAL","MALDAH","MANIKCHAK                                         ","2014-11-04 06:28:32.270"
"KHARIF","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","WANT TO KNOW FERTILIZERS DOSE FOR POTATO CULTIVATION.","APPLY FERTILIZERS ACCORDING TO SOIL TESTING REPORT OR SUGGESTION BY A.D.A.","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-II                               ","2014-11-04 09:04:06.557"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","CONTROL OF WHIP TAIL DEASIES IN CAULIFLOWER","recommended for spray amonium molybdate @0.5gm/lit of water","WEST BENGAL","MALDAH","KALIACHAK-II                                      ","2014-11-04 10:14:34.710"
"KHARIF","HORTICULTURE","Vegetables","Broad Bean","	Plant Protection	","CONTROL OF FRUIT DROP IN BROAD BEAN.","RECOMMENDED FOR SPRAY ALPHA NEPTHALENE ACETIC ACID  @ 1 ML / 4.5 LIT OF WATER.","WEST BENGAL","MALDAH","KALIACHAK-II                                      ","2014-11-04 10:43:22.953"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Seeds","WANT TO KNOW ABOUT VARIETIES OF MAIZE.","RECOMMENDED VARIETIES OF MAIZE ARE- DECAN-107, RANJIT, GANGASAFED, DECAN-109 ETC.","WEST BENGAL","MALDAH","KALIACHAK-II                                      ","2014-11-04 10:59:05.603"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WANT TO KNOW ABOUT WEATHERING REPORT IN MALDAH","INDIA METEOROLOGICAL DEPARTMENT NEXT FIVE DAYS NO RAIN FALL OCCUR","WEST BENGAL","MALDAH","GAZOLE                                            ","2014-11-04 11:05:20.763"
"KHARIF","HORTICULTURE","Condiments and Spices","Pepper","Seeds and Planting Material","SOME VARIETIES ARE BLACK PEPPER.","RECOMMENDED FOR VARIETIES ARE APPLY Karimunda, Sreekara, Subhakara, Panchami ETC.","WEST BENGAL","MALDAH","HABIBPUR                                          ","2014-11-04 11:12:32.567"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","CONTROL OF MICRONUTRIENT DEFICIENCY IN BRINJAL.","RECOMMENDED FOR SPRAY ALPHA NEPTHALENE ACETIC ACID  @ 1 ML / 4.5 LIT OF WATER.","WEST BENGAL","MALDAH","KALIACHAK-II                                      ","2014-11-04 11:59:06.483"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","SEED TREATMENT OF PADDY.","RECOMMENDED FOR APPLY MANCOZEB 63% @ 2 GM /LIT./KG. OF SEED.","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-II                               ","2014-11-04 12:48:22.780"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FLOWER DROP IN BRINJAL","RECOMMENDED FOR SPRAY ALPHA NEPTHALENE ACETIC ACID  @ 1 ML / 4.5 LIT OF WATER.","WEST BENGAL","MALDAH","KALIACHAK-II                                      ","2014-11-04 16:41:16.753"
"KHARIF","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","FERTILIZER DOSE OF POTATO.","ADVICE SOIL TEST AND CONTACT WITH ADA/KPS/BTM-ATMA,BLOCK.","WEST BENGAL","MALDAH","GAZOLE                                            ","2014-11-04 17:11:03.060"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF FALSE SMUT IN PADDY.","RECOMMENDED FOR APPLY HLOROTHALONIL 75%WP @ 2 GM/LIT. OF WATER.","WEST BENGAL","MALDAH","GAZOLE                                            ","2014-11-04 19:03:14.097"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Cultural Practices","ASKING ABOUT CULTURAL PRACTICES IN MUSTARD","SEED TREATMENT IN MUSTARD = RECOMMENDED FOR CARBENDAZIM 50% WP @ 2 GM  / 1 KG SEED.SEED RATE 2.5 - 3 KG / 1 ACEAR.","WEST BENGAL","MALDAH","HABIBPUR                                          ","2014-11-05 07:56:27.900"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF STEM ROT IN BRINJAL.","RECOMMENDED FOR SPRAY  THIOPHANATE METHYL 75% WP @ 1 GM/ 1 LIT. OF WATER.","WEST BENGAL","MALDAH","CHANCHAL-I                                        ","2014-11-05 10:03:45.070"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","CONTROL OF STEM BORER IN MAIZE.","RECOMMENDED FOR APPLY  CHLORPYRIPHOS 3 G @ 2.5 KG/BIGHA.","WEST BENGAL","MALDAH","CHANCHAL-II                                       ","2014-11-05 10:08:39.513"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","CONTROL OF APHIDS IN MUSTARD.","RECOMMENDED FOR SPRAY TRIAZOPHOS 40% E.C. @ 1 ML/LIT. OF WATER.","WEST BENGAL","MALDAH","CHANCHAL-II                                       ","2014-11-05 11:41:26.740"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","CONTROL OF TERMITE IN MAIZE.","RECOMMENDED FOR SPRAY CHLORPYRIPHOS 20%EC @ 2-2.5 ML / LIT. OF WATER.","WEST BENGAL","MALDAH","CHANCHAL-II                                       ","2014-11-05 12:15:37.067"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL OF FLOWER DROP IN TOMATO.","RECOMMENDED FOR SPRAY ALFA NAPTHAILE ACETIC ACID 1 ML / 4.5 LIT OF WATER .","WEST BENGAL","MALDAH","RATUA-II                                          ","2014-11-06 08:00:48.240"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","NUTRITIONAL DEFICIENCY OF  TOMATO","RECOMMENDED FOR SPRAY OF   GRADE -1  @ 3 GM/ LITRE OF WATER","WEST BENGAL","MALDAH","OLD MALDA                                         ","2014-11-06 08:08:14.687"
"RABI","AGRICULTURE","Others","Others","Weather","WANT TO KNOW ABOUT WEATHER REPORT IN THE DISTRICT OF MALDAH","NO RAIN FALL IN THE DISTRICT OF MALDAH","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I                                ","2014-11-06 08:49:40.700"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION.","RECOMMENDED FOR TODAY WILLNOT RAIN.","WEST BENGAL","MALDAH","GAZOLE                                            ","2014-11-06 09:48:59.463"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","ASKING ABOUT FERTILIZER DOSE OF MUSTARD FIELD","ADVICE TO SOIL TEST ALSO CONTACT WITH LOCAL A.D.A","WEST BENGAL","MALDAH","OLD MALDA                                         ","2014-11-06 11:21:13.773"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","CONTROL OF CATERPILLAR IN MAIZE.","RECOMMENDED FOR SPRAY  CHLORPYRIPHOS 20% EC @ 2.5 ML  / LIT OF WATER.","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-II                               ","2014-11-06 14:12:36.297"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF MALDAH DISTRICT.","NO RAINFALL SLIGHTLY CLOUDY SKY.","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I                                ","2014-11-06 15:30:48.050"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","CULTIVATION OF POTATO","CONTACT WITH BLOCK  [ ASSISTANT DIRECTOR OF AGRICULTURE(A.D.A)]","WEST BENGAL","MALDAH","MANIKCHAK                                         ","2014-11-06 17:55:04.790"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT.","MAINLY CLOUDY SKY BUT NO CHANCE OF RAINFALL NEXT 5 DAYS.","WEST BENGAL","MALDAH","BAMONGOLA                                         ","2014-11-06 18:13:20.190"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","ASKING ABOUT SOIL TESTING.","CONTACT WITH LOCAL ADA.","WEST BENGAL","MALDAH","HABIBPUR                                          ","2014-11-06 18:21:50.097"
"KHARIF","AGRICULTURE","Cereals","Wheat","Cultural Practices","ASKING ABOUT SEED TREATMENT IN WHEAT.","RECOMMENDED FOR SPRAY  CARBENDAZIM 50% WP @ 2GM / KG OF SEED.","WEST BENGAL","MALDAH","HARISHCHANDRAPUR-I                                ","2014-11-07 09:48:52.717"
"KHARIF","HORTICULTURE","Vegetables","Potato","Soil Testing","ASKING ABOUT SOIL TESTING","CONTACT WITH LOCAL A.D.A","WEST BENGAL","MALDAH","GAZOLE                                            ","2014-11-07 10:12:57.100"
