"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","WANT TO KNOWN ABOUT CONTROL OF ANTHRACNOSE IN MANGO.","RECOMMENDED FOR SPRAY CARBENDAZIM 12% + MANCOZEB 63% (75% WP)  @ 2 GM  / LIT OF WATER.","WEST BENGAL","MURSHIDABAD","BERHAMPORE                                        ","2014-11-01 08:40:32.150"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT.","NO RAIN FALL.","WEST BENGAL","MURSHIDABAD","JALANGI                                           ","2014-11-01 08:43:59.820"
"KHARIF","AGRICULTURE","Pulses","Lentil (Masur)","Fertilizer Use and Availability","ASKING ABOUT FERTILIZER USE IN LENTIL.","RECOMMENDED FOR USE UREA @ 2O GM / LIT. OF WATER.","WEST BENGAL","MURSHIDABAD","JALANGI                                           ","2014-11-01 08:51:27.153"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF STEM ROT IN BRINJAL.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","MURSHIDABAD","KHARGRAM                                          ","2014-11-01 08:52:28.473"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FRUIT BRORER IN BRINJAL","RECOMMENDED FOR SPRAY FLUBANDIYAMITE @ 1ML /4LIT OF WATER","WEST BENGAL","MURSHIDABAD","BURWAN                                            ","2014-11-01 09:02:50.187"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FRUIT AND SHOOT BORRER IN BRINJAL.","RECOMMENDED FOR SPRAY  FLUBENDIAMIDE 39.35% SC @ 1 ML  / 5  LIT OF WATER.","WEST BENGAL","MURSHIDABAD","DOMKAL                                            ","2014-11-01 09:43:06.433"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","CONTROL OF CUTWARM IN MASTARD","RECOMMENDED FOR SPRAY INDOXCARB 40% EC @ 1ML/LIT OF WATER","WEST BENGAL","MURSHIDABAD","HARIHARPARA                                       ","2014-11-01 09:50:15.983"
"RABI","HORTICULTURE","Fruits","Banana","	Plant Protection	","SIGATOKA DISEASES IN BANANA","RECOMMENDED FOR SPRAYING CHLOROTHALONIL @ 2ML/L OF WATER","WEST BENGAL","MURSHIDABAD","DOMKAL                                            ","2014-11-01 10:19:13.223"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Cultural Practices","ASKING ABOUT VARIETY IN MUSTARD.","MUSTARD VARIETY ARE BINOY,SUBINOY,JHUMKA.","WEST BENGAL","MURSHIDABAD","NABAGRAM                                          ","2014-11-01 10:33:40.950"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF JASIED IN BRINJAL","RECOMMENDED FOR SPRAY ACETAMAPRIED 20% SP @ 1GM/5LIT OF WATER","WEST BENGAL","MURSHIDABAD","DOMKAL                                            ","2014-11-01 10:35:48.883"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Seeds","SEED RATE IN LENTIL","RECOMMENDED FOR USING 3 KG LENTIL SEED/BIGHA OF LAND","WEST BENGAL","MURSHIDABAD","BERHAMPORE                                        ","2014-11-01 10:40:39.780"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","CONTROL OF CATTER PILLER OF MUSTARD","RECOMMENDED FOR SPRAY CHLORPYRIPHOS 20% E.C. @ 2 ML/LT. OF WATER","WEST BENGAL","MURSHIDABAD","KHARGRAM                                          ","2014-11-01 11:53:40.757"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT IN MURSHIDABAD DISTRICT ON 01/10/2014.","NO RAIN FALL IN MURSHIDABAD DISTRICT ON 01/10/2014.","WEST BENGAL","MURSHIDABAD","BELDANGA-II                                       ","2014-11-01 12:32:18.317"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL OF LEAF CURLING IN TOMATO FIELD.","RECOMMENDED FOR SRAY DIMETHOATE 30 % EC @ 2 ML/LITRE OF WATER.","WEST BENGAL","MURSHIDABAD","BHAGABANGOLA-II                                   ","2014-11-01 12:40:32.950"
