"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","FLOWER DROPPING IN CHILLI","RECOMMENDED FOR SPRAY OF ALPHA NAPTHALENE ACETIC ACID 4.5 % SOL. @ 1 ML/4.5 LIT OF WATER","WEST BENGAL","NADIA","KARIMPUR-1                                        ","2014-11-01 06:19:25.193"
"KHARIF","HORTICULTURE","Vegetables","Carrot","	Plant Protection	","CONTROL OF BLIGHT IN CARROT.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","NADIA","TEHATTA-I                                         ","2014-11-01 07:19:27.647"
"KHARIF","HORTICULTURE","Fruits","Guava","	Plant Protection	","CONTROL OF FRUIT FLY IN GUAVA.","RECOMMENDED FOR SPRAY  TRIAZOPHOS 20% EC @ 2 ML  / LIT OF WATER.","WEST BENGAL","NADIA","RANAGHAT-II                                       ","2014-11-01 07:44:24.367"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FRUIT AND SHOOT BORRER IN BRINJAL.","RECOMMENDED FOR SPRAY  FLUBENDIAMIDE 39.35% SC @ 1 ML  / 5  LIT OF WATER.","WEST BENGAL","NADIA","CHAPRA                                            ","2014-11-01 08:12:10.020"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF CASEWORM IN BRINJAL","RECOMMENDED FOR SPRAY EMAMECTIN BENZOATE 5% S.G. @ 0.5 GM/LIT OF WATER.","WEST BENGAL","NADIA","CHAPRA                                            ","2014-11-01 08:18:25.487"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF LEAF CURLING IN CUCUMBER","RECOMMENDED FOR SPRAY IMIDACLOROPID 17.8% SL @ 1ML/5LIT OF WATER","WEST BENGAL","NADIA","KRISHNAGAR-I                                      ","2014-11-01 08:37:45.490"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL OF FRUIT DROPPING IN COCONUT.","RECOMENDED FOR SPRAY NAA @ 1 ML/ 4.5 LITER OF WATER.","WEST BENGAL","NADIA","NAKASHIPARA                                       ","2014-11-01 09:07:38.917"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF LEAF BLIGHT IN CHILLIE.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","NADIA","KRISHNAGAR-I                                      ","2014-11-01 09:39:01.630"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","SEED TREATMENT OF POTATO","SEED TREATMENT WITH METHOXY ETHYL MERCURIC CHLORIDE @ 2 GM /LIT OF WATER","WEST BENGAL","NADIA","KARIMPUR-1                                        ","2014-11-01 09:41:28.220"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","mite problem in marigold flower","recommended for spraying fenazaquin 10 % EC @ 2ml/l of water","WEST BENGAL","NADIA","NAKASHIPARA                                       ","2014-11-01 11:26:21.427"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF ANTHRACNOSE OF CHILLI","RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50% W.P. @ 4 GM/LT. OF WATER","WEST BENGAL","NADIA","HARINGHATA                                        ","2014-11-01 12:20:57.233"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","ATTACK OF LEAF SPOT IN MARIGOLD","RECOMMENDED FOR SPRAY OF  COPPER OXYCHLORIDE 50 % WP @ 4 GM /LIT OF WATER","WEST BENGAL","NADIA","NAKASHIPARA                                       ","2014-11-01 12:57:04.953"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Weather","CONTROL OF FLOWER DROP IN BRINJAL","RECOMMENDED FOR SPRAY ALFA NAPTHALIC ACITIC ACIED @ 1/4.5LIT OF WATER","WEST BENGAL","NADIA","HARINGHATA                                        ","2014-11-01 14:54:16.767"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","CONTROL OF ROOT ROT IN BHINDI","RECOMMENDED FOR SPRAY MANCOZEB 2.5GM/LIT OF WATER","WEST BENGAL","NADIA","KRISHNAGANJ                                       ","2014-11-01 16:16:27.610"
"RABI","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","CONTROL OF LEAF CURL IN CUCUMBER.","RECOMMENDED FOR SPRAY FIPRONIL 5% SC @ 1ML/ LIT. OF WATER. AFTER FEW DAYS APPLY GRADE-2 @ 2ML/ LIT. OF WATER.","WEST BENGAL","NADIA","KRISHNAGANJ                                       ","2014-11-01 16:18:03.573"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","CONTROL OF LEAF HOPPER IN MANGO","RECOMMENDED FOR SPRAY  ACEPHATE 75% SP @ 1.5 GM / 2 LIT OF WATER.","WEST BENGAL","NADIA","HANSKHALI                                         ","2014-11-01 16:22:01.537"
"KHARIF","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","WANT TO KNOW ABOUT VARIETIES OF POTATO.","RECOMMENDED VARIETIES OF POTATO= KUFRI JYOTI, KUFRI CHIPSONA-1, 2, KUFRI LALIMA, KUFRI ANAND ETC.","WEST BENGAL","NADIA","KARIMPUR-1                                        ","2014-11-01 16:42:03.067"
"KHARIF","HORTICULTURE","Fruits","Ber","	Plant Protection	","CONTROL OF FRUIT DROP IN BER.","RECOMMENDED FOR SPRAY ALPHA NEPTHALENE ACETIC ACID @ 1ML/ 4.5LIT. OF WATER.","WEST BENGAL","NADIA","TEHATTA-II                                        ","2014-11-01 17:02:12.553"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION.","NO RAIN.","WEST BENGAL","NADIA","CHAPRA                                            ","2014-11-01 18:18:46.807"
