"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Pointed Gourd","	Plant Protection	","CONTROL OF STEM ROT IN POINTED GOURD.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","BAGDA                                             ","2014-11-01 06:40:04.170"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF LEAF SPOT IN PADDY.","RECOMENDED FOR SPRAY CARBENDAZIM @ 1 GM / LITER OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","BAGDA                                             ","2014-11-01 06:45:28.157"
"KHARIF","HORTICULTURE","Vegetables","Pointed Gourd","	Plant Protection	","CONTROL OF PUMPKIN BEETLES IN POINTED GOURD.","RECOMMENDED FOR SPRAY FIPRONIL 5% SC  @ 1 ML  / LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","BAGDA                                             ","2014-11-01 07:53:19.653"
"KHARIF","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","CONTROL OF WHITE FLY IN PUMPKIN.","RECOMMENDED FOR SPRAY ACETAMIPRID 20% SP @ 1 GM  / 5 LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","BONGAON                                           ","2014-11-01 08:57:09.113"
"KHARIF","HORTICULTURE","Fruits","Orange","	Plant Protection	","DEFICIENCY OF MICRO NUTRIENT IN ORANGE.","RCOMENDED FOR SPRAY GRADE-5 @ 2 GM / LITER OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","BARRACKPUR-I                                      ","2014-11-01 09:45:30.463"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF BACTERIAL WILT IN BRINJAL.","RECOMMENDED FOR SPRAY STREPTOCYCLINE 9:1 SP ( 90:10 SP) @ 1 GM / 10 LIT OF WATER. AFTER 4 DAYS SPRAY ALPHA NEPTHALENE ACETIC ACID  @ 1 ML / 4.5 LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","BONGAON                                           ","2014-11-01 10:12:35.587"
"KHARIF","HORTICULTURE","Vegetables","Dolichos Bean","	Plant Protection	","CONTROL OF FUNGAL EFFECT IN DOLICHOS BEAN","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","SWARUPNAGAR                                       ","2014-11-01 10:17:34.563"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","ASKING ABOUT WEATHER REPORT.","MAINLY CLEAR SKY NO CHANCE OF RAINFALL.","WEST BENGAL","24 PARGANAS (NORTH)","AMDANGA                                           ","2014-11-01 10:38:54.200"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING SEED TRETMENT IN POTATO","RECOMMENDED FOR USE MEMC @ 2GM/LIT OF WATER","WEST BENGAL","24 PARGANAS (NORTH)","HINGALGANJ                                        ","2014-11-01 11:33:06.640"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BACTERIAL LEAF BLIGHT IN PADDY.","RECOMMENDED FOR SPRAY STREPTOCYCLINE 9:1 SP ( 90:10 SP) @ 1 GM / 10 LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","HINGALGANJ                                        ","2014-11-01 12:54:23.483"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ASKING WATHER REPORT IN NORTH 24PORGONA","NO RAINFAL","WEST BENGAL","24 PARGANAS (NORTH)","BADURIA                                           ","2014-11-01 13:15:27.753"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","WANT TO KNOWN ABOUT CONTROL OF LEAF BLIGHT IN CHILLI.","RECOMMENDED FOR SPRAY CARBENDAZIM 12% + MANCOZEB 63% (75% WP)  @ 2 GM  / LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","BADURIA                                           ","2014-11-01 13:21:24.213"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WANT TO KNOWN ABOUT CONTROL OF BROWN PLANT HOPPER IN PADDY.","RECOMMENDED FOR SPRAY BUPROFEZIN 25% SC @ 1 ML  / LIT OF WATER.","WEST BENGAL","24 PARGANAS (NORTH)","BADURIA                                           ","2014-11-01 13:26:01.980"
"RABI","AGRICULTURE","Oilseeds","Mustard","Cultural Practices","ASKING ABOUT CULTIRAL PRACTICES IN MUSTARD","SEED TREATMENT = CARBENDAZIM 50 % WP @ 2.5 GM / 1 KG SEED. SEED RATE= 2.5 -3 KG . / 1 ACEAR.","WEST BENGAL","24 PARGANAS (NORTH)","HASNABAD                                          ","2014-11-01 13:56:24.973"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER REPORT","NO RAINFALL FOR NEXT FIVE DAYS","WEST BENGAL","24 PARGANAS (NORTH)","BONGAON                                           ","2014-11-01 13:58:50.293"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WANT TO KNOW ABOUT WEATHERING REPORT IN 24 PARGANAS(NORTH)","INDIA METEOROLOGICAL DEPARTMENT NEXT FIVE DAYS NO RAIN FALL","WEST BENGAL","24 PARGANAS (NORTH)","BASIRHAT-II                                       ","2014-11-01 14:07:03.243"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","CONTROL OF TERMITE IN TURMERIC","RECOMMENDED FOR APPLY CARBOFURAN 3 G @2.5 KG/BIGHA.","WEST BENGAL","24 PARGANAS (NORTH)","GAIGHATA                                          ","2014-11-01 14:48:53.793"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF ROOT ROT IN BRINJAL","RECOMMENDED FOR SPRAY VALIDAMYCIN 2ML/LIT OF WATER","WEST BENGAL","24 PARGANAS (NORTH)","BAGDA                                             ","2014-11-01 16:52:31.323"
