"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BLAST IN PADDY","RECOMMENDED FOR SPRAY PROPICONAZOLE 25% @ 0.75 ML / LIT. OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","SABANG                                            ","2014-11-01 08:23:33.270"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","ASKING ABOUT CULTURAL PRACTICE IN BRINJAL.","RECOMMENDED FOR USE MANCOZEB @ 2.5 GM / LIT FOR SEEDLING TREATMENT.","WEST BENGAL","MIDNAPUR (WEST)","SABANG                                            ","2014-11-01 08:25:46.853"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WANT TO KNOWN ABOUT CONTROL OF FALSE SMUT IN PADDY.","RECOMMENDED FOR SPRAY  CHLOROTHALONIL 75% WP  @ 2 GM  / LIT OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","KHARAGPUR-II                                      ","2014-11-01 08:29:51.790"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BROWN PLANT HOPPER IN PADDY","RECOMMENDED FOR SPRAY BUPROFEZIN 25% SC @ 1 ML  / LIT OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","NARAYANGARH                                       ","2014-11-01 08:31:02.273"
"KHARIF","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","ASKING ABOUT SPACING OF POTATO.","RECOMMENDED ROW TO ROW= 45 CM AND PLANT TO PLANT=20 CM","WEST BENGAL","MIDNAPUR (WEST)","GARBETA-III                                       ","2014-11-01 09:19:04.290"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF NECK BLAST IN PADDY.","RECOMMENDED FOR SPRAY TEBUCONAZOLE 50% + TRIFLOXYSTROBIN 25% (75% WG)  @ 1.5 GM / 2 LIT OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","DANTAN-II                                         ","2014-11-01 09:23:23.150"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT.","NO RAIN FALL.","WEST BENGAL","MIDNAPUR (WEST)","NARAYANGARH                                       ","2014-11-01 09:23:55.937"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","CONTROL OF LEAF ROT IN CAULIFLOWER.","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @  4 GM / LIT OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","DASPUR-I                                          ","2014-11-01 09:37:13.250"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","Nutrient Management","ASKING ABOUT NUTRIENT DEFICIENCY IN CAULIFLOWER.","RECOMMENDED FOR SPRAY GRADE 2  @  2-3 ML / LIT OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","KHARAGPUR-I                                       ","2014-11-01 10:21:12.723"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ATTACK OF BROWN PLANT HOPPER IN PADDY FIELD","RECOMMENDED FOR SPRAY OF   BUPROFEZIN 25 % SC @ 1 ML/LIT OF WATER","WEST BENGAL","MIDNAPUR (WEST)","NARAYANGARH                                       ","2014-11-01 10:23:43.427"
"RABI","AGRICULTURE","Others","Others","Weather","WANT TO KNOW ABOUT WEATHER REPORT IN THE DISTRICT OF WEST MEDINIPUR","NO RAIN FALL IN THE DISTRICT OF WEST MEDINIPUR","WEST BENGAL","MIDNAPUR (WEST)","KHARAGPUR-I                                       ","2014-11-01 10:33:08.810"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BROWN PLANT HOPPER IN PADDY.","RECOMMENDED FOR SPRAY BUPROFEZIN 25% SC @ 1 ML  / LIT OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","CHANDRAKONA-I                                     ","2014-11-01 10:35:44.473"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL OF FRUIT CRACKING IN COCONUT.","RECOMMENDED FOR SPRAY BORON @ 2 GM / LIT OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","PINGLA                                            ","2014-11-01 10:37:28.787"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BROWN PLANT HOPPER IN PADDY.","RECOMMENDED FOR SPRAY BUPROFEZIN 25% SC @ 1 ML  / LIT OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","KESHPUR                                           ","2014-11-01 11:02:06.287"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","CLOUDY SKY NO RAINFALL","WEST BENGAL","MIDNAPUR (WEST)","KESHPUR                                           ","2014-11-01 11:02:53.790"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BROWN PLANT HOPPER IN PADDY.","RECOMMENDED FOR SPRAY BUPROFEZIN 25% SC @ 1 ML  / LIT OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","NARAYANGARH                                       ","2014-11-01 11:11:29.923"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BROWN PLANT HOPPER OF PADDY","RECOMMENDED FOR SPRAY BUPROFEZIN 25% EC @ 1 ML/LIT OF WATER.","WEST BENGAL","MIDNAPUR (WEST)","KHARAGPUR-II                                      ","2014-11-01 11:17:24.733"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","false smut in paddy","recommended for spraying chlorothalonil @ 2gm/l of water","WEST BENGAL","MIDNAPUR (WEST)","MIDNAPORE                                         ","2014-11-01 11:17:28.397"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT SEED RATE OF POTAO.","RECOMENDED SEED RATE OF POTAO @ 18-20 Q/ HECTARE.","WEST BENGAL","MIDNAPUR (WEST)","DANTAN-II                                         ","2014-11-01 11:29:06.983"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","inflorences not coming out","RECOMMENDED FOR USING N TRICONTANAL @ 1ML/3L OF WATER","WEST BENGAL","MIDNAPUR (WEST)","NARAYANGARH                                       ","2014-11-01 11:36:31.237"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","NO RAINFALL FOR NEXT DAYS","WEST BENGAL","MIDNAPUR (WEST)","KHARAGPUR-I                                       ","2014-11-01 12:35:33.053"
