"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL OF FRUIT BORER IN TOMATO","RECOMMENDED FOR SPRAY MITHOMYL 40% SP @ 1 GM/LIT OF WATER","WEST BENGAL","PURULIA","KASHIPUR                                          ","2014-11-01 06:57:30.097"
"KHARIF","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","ASKING ABOUT FERTILIZER USE IN POTATO.","RECOMMENDED FOR APPLY IN TOP DRESSING TIME N:K AS PER YOUR SOIL REQUARMENT.","WEST BENGAL","PURULIA","PARA                                              ","2014-11-01 12:07:29.033"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","WANT TO KNOWN ABOUT WEATHER REPORT.","Today's Forecast:Mainly clear sky. Max temp will be around 32 deg celcius.","WEST BENGAL","PURULIA","HURA                                              ","2014-11-01 13:02:58.777"
"KHARIF","HORTICULTURE","Fruits","Acid Lime","	Plant Protection	","WANT TO KNOWN ABOUT CONTROL OF APHIDS IN CITRUS.","RECOMMENDED FOR SPRAY ACETAMIPRID 20% SP @ 1 GM  / 5 LIT OF WATER.","WEST BENGAL","PURULIA","HURA                                              ","2014-11-01 13:15:11.140"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","CONTROL OF LEAF CURL IN POTATO","RECOMMENDED FOR SPRAY GRADE 2  @  2-3 ML / LIT OF WATER.","WEST BENGAL","PURULIA","BARABAZAR                                         ","2014-11-01 15:44:11.933"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASKING FOR LEAF CURL IN CHILLI","RECOMMENDED FOR BUFROFEZINE 1ML/LIT OF WATER.","WEST BENGAL","PURULIA","BAGMUNDI                                          ","2014-11-01 19:31:18.807"
"KHARIF","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","ASKING ABOUT SEED TREATMENT OF ONION.","RECOMMENDED FOR USE MANCOZEB @ 2.5 GM / KG OF SEED.","WEST BENGAL","PURULIA","BAGMUNDI                                          ","2014-11-02 08:24:18.447"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL OF CATERPILLAR IN TOMATO FIELD.","RECOMMENDED FOR SPRAY CHLORPYRIPHOS 20%EC @ 2.5 ML/ LIT. OF WATER.","WEST BENGAL","PURULIA","BUNDWAN                                           ","2014-11-02 10:04:35.773"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF BACTERIAL WILT IN BRINJAL","RECOMMENDED FOR SPRAY STREPTOCYCLINE 9:1 SP ( 90:10 SP) @ 1 GM / 10 LIT OF WATER.","WEST BENGAL","PURULIA","JAIPUR                                            ","2014-11-02 14:36:21.870"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION.","RECOMMENDED FOR TODAY WILLNOT RAIN.","WEST BENGAL","PURULIA","RAGHUNATHPUR-II                                   ","2014-11-02 16:39:39.977"
